"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10192727692,"Cost/Price","Favorite Strain","Quality"
10192533361,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10192498772,"CBD Content","THC Content","Quality"
10191915115,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10189186912,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10188650039,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10188408371,"Quality","",""
10187399811,"Quality","THC Content","CBD Content"
10187293378,"THC Content","CBD Content","THCa"
10186789647,"THCa","CBD Content","Quality"
10184855403,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
10184422610,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10182871285,"CBD Content","THC Content","Other cannabinoids and terpenes"
10182158425,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10180645404,"CBD Content","THC Content","Cost/Price"
10179881172,"Quality","THC Content","Cost/Price"
10179433467,"Quality","THC Content","CBD Content"
10178911098,"THC Content","Favorite Strain","Other cannabinoids and terpenes"
10178573973,"Cost/Price","CBD Content","THC Content"
10177087872,"THC Content","Other cannabinoids and terpenes","Quality"
10176582087,"THC Content","Cost/Price","Favorite Strain"
10176527440,"THCa","Quality","Favorite Strain"
10176321017,"Cost/Price","THC Content","Quality"
10176219723,"THC Content","Cost/Price","Quality"
10175389238,"Favorite Strain","Format (flower, vape, edibles, etc)","Cost/Price"
10175028993,"THC Content","Other cannabinoids and terpenes","Quality"
10174913763,"THC Content","CBD Content","THCa"
10171829091,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10171532408,"Quality","CBD Content","Format (flower, vape, edibles, etc)"
10170229155,"Quality","CBD Content","THC Content"
10170193335,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10168000728,"CBD Content","THC Content","Cost/Price"
10167813084,"THC Content","Quality","Cost/Price"
10167747571,"THC Content","CBD Content","Cost/Price"
10167303076,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10166785910,"CBD Content","Quality","Cost/Price"
10166774106,"Cost/Price","THC Content","Quality"
10166738513,"THC Content","Favorite Strain","Quality"
10166497491,"Quality","Favorite Strain","Cost/Price"
10166135661,"CBD Content","THC Content","Quality"
10166114652,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10166087981,"Quality","THC Content","CBD Content"
10166086781,"THC Content","Cost/Price","Quality"
10165633718,"THC Content","CBD Content","Quality"
10164188167,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10163740738,"THC Content","CBD Content","Cost/Price"
10163295631,"THC Content","Cost/Price","Quality"
10162754933,"THC Content","CBD Content","Quality"
10162070194,"THC Content","CBD Content","Cost/Price"
10159981972,"Quality","Format (flower, vape, edibles, etc)","THCa"
10159485373,"Quality","Other cannabinoids and terpenes","Cost/Price"
10158941676,"THC Content","Favorite Strain","Cost/Price"
10158853744,"Quality","Cost/Price","THC Content"
10157258093,"Favorite Strain","THC Content","Cost/Price"
10156731649,"THC Content","CBD Content","Quality"
10156521325,"THC Content","Quality","Cost/Price"
10156516032,"THC Content","Quality","Cost/Price"
10156488891,"Favorite Strain","THC Content","Cost/Price"
10155895979,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10154976508,"Quality","Cost/Price","Other cannabinoids and terpenes"
10154763373,"Cost/Price","CBD Content","THC Content"
10153982482,"Cost/Price","Quality","Favorite Strain"
10153928489,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10153874491,"CBD Content","Cost/Price","Format (flower, vape, edibles, etc)"
10153739906,"Cost/Price","Quality","THC Content"
10152847985,"THC Content","CBD Content","Favorite Strain"
10152780535,"CBD Content","Format (flower, vape, edibles, etc)","Cost/Price"
10152754819,"THC Content","Cost/Price","Favorite Strain"
10152074391,"Favorite Strain","Format (flower, vape, edibles, etc)","THC Content"
10151425971,"Cost/Price","THC Content","Quality"
10147185169,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10147173145,"THC Content","Favorite Strain","Cost/Price"
10146160169,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10146124602,"Quality","CBD Content","Cost/Price"
10145856040,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10145514597,"Quality","Favorite Strain","THC Content"
10145264898,"THC Content","CBD Content","Other cannabinoids and terpenes"
10145094441,"THC Content","Quality","Cost/Price"
10144541871,"Quality","Cost/Price","THC Content"
10143858890,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10143785163,"Cost/Price","Quality","CBD Content"
10143614917,"THC Content","Quality","Cost/Price"
10143284849,"Other cannabinoids and terpenes","CBD Content","THC Content"
10143041238,"Other cannabinoids and terpenes","CBD Content","Favorite Strain"
10142947535,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10142940938,"Format (flower, vape, edibles, etc)","CBD Content","THCa"
10142795363,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10142731921,"Quality","Cost/Price","THC Content"
10142729007,"Quality","Cost/Price","THC Content"
10142718218,"THC Content","CBD Content","Other cannabinoids and terpenes"
10142701054,"THC Content","Cost/Price","Quality"
10142699153,"Format (flower, vape, edibles, etc)","THC Content","Favorite Strain"
10142691158,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10142680604,"Quality","Format (flower, vape, edibles, etc)","CBD Content"
10142645727,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
