"q52","What questions regarding cannabis did we not ask that are important to you?","n =  881"
"Cannabis is not required to be re-tested after extended periods of time at dispensaries. ","1","0.11"
"CBD","1","0.11"
"children consumption - when will that be a thing? for medicinal use of course","1","0.11"
"Common negative side effects, common positive side effects","1","0.11"
"consistency of vape cartridges  ","1","0.11"
"Continued availability of educational materials or events to educate medical patients. ","1","0.11"
"Cost","1","0.11"
"Cost pricing","1","0.11"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.11"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.11"
"Covered everything ","1","0.11"
"covered it well","1","0.11"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.11"
"Did you grow up in a family where Cannabis was used?","1","0.11"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.11"
"Do you believe that your primary care doctor believes in the stigma or will help you?","1","0.11"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.11"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.11"
"Do you know about the dry and cure process and how important it is?","1","0.11"
"Do you know anyone else with a medical card ","1","0.11"
"Do you know someone who grows","1","0.11"
"Do you know the difference between indica & sativa?","1","0.11"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.11"
"Do you make any cannabis products for yourself?","1","0.11"
"Do you think cannabis has different effects on females vs. males ?","1","0.11"
"Do you think Medical Doctors need education related to marijuana ","1","0.11"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.11"
"Do you think there should be public smoking establishments? Example- lounges/gyms","1","0.11"
"Do you want some?","1","0.11"
"Does cannabis affect your medical condition?","1","0.11"
"Does cannabis treat the symptoms you experience on a daily basis? ","1","0.11"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.11"
"Don't have any","1","0.11"
"Don't have any feedback. ","1","0.11"
"Don't have any.","1","0.11"
"Don’t have any questions","1","0.11"
"Don’t know","1","0.11"
"Don’t know ","1","0.11"
"drug/drug interactions and more about testing and cultivation parameters","1","0.11"
"dunno, like I said earlier, I'm just exploring this","1","0.11"
"🤷‍♀️","1","0.11"
"Ease of access. I smoke whatever is easiest for me to access","1","0.11"
"Economic ","1","0.11"
"educational resources to continue education & support groups","1","0.11"
"effect on mood","1","0.11"
"effect on prices and illegal pot vs pharma","1","0.11"
"Effects and recommended use by ailment","1","0.11"
"Federal legalization, and the education of the masses.","1","0.11"
"Financial burden having to pay out of pocket for my medicine","1","0.11"
"Flavor importance","1","0.11"
"Future of medical marijuana","1","0.11"
"Getting into the biz","1","0.11"
"Good job. Thanks ","1","0.11"
"Has cannabis usage lowered my physical pain?","1","0.11"
"Have anyone in the history of cannabis use ever overdose. ","1","0.11"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.11"
"Hemp relation","1","0.11"
"Home test cheap enough to use","1","0.11"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.11"
"How are you concerned about negative health risks associated with cannabis?","1","0.11"
"How can it be made available to people of less means? I work inner city, and come across many poor people who would benefit but cannot due to cost.","1","0.11"
"How can we end the war on the poor and the war on drugs? How can we help those who have been abused by the justice system because of a plant?","1","0.11"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.11"
"How comfortable are you with the quality of the bud you are receiving?","1","0.11"
"How do I determine the correct dosage to cure my chemo related nausea.","1","0.11"
"How do I feel about jobs still testing for marijuana use regardless if you have a medical license or not?","1","0.11"
"HOW DO I FEEL ABOUT PAYING SO MUCH!!!!!","1","0.11"
"How do the people you live with feel about your cannabis use?","1","0.11"
"How do we think the state is doing implementing leagl canabis","1","0.11"
"How do you feel about legalizing marijuana for recreational use","1","0.11"
"How do you feel about the black/grey market? Not good, the community rips itself apart from the inside due to greed, I don't know if it would be different if it was completely legal but this infighting would happen within companies not in the community for everyone to feel uncomfortable.","1","0.11"
"How Does cannabis effect your spiritually?  ","1","0.11"
"How does cannabis help you?","1","0.11"
"how does cannabis impact your relations with other people?","1","0.11"
"How does cannabis improve healing beyond just consuming it.","1","0.11"
"How does indica and sativa affect you differently? Do you know the difference in strains and why they are different? ","1","0.11"
"How does using cannabis make you feel and how does it help in your daily life?","1","0.11"
"How happy it makes me :)","1","0.11"
"How I feel about pricing and whether insurance companies should be forced to cover cost","1","0.11"
"How important is it that you have consistent access to your favorite strain?","1","0.11"
"How it effects daily life?  How it effects users socially, or in interpersonal relationships.   ","1","0.11"
"How long Cannabis are really still fresh?","1","0.11"
"How long does effects last.","1","0.11"
"How long have been using","1","0.11"
"How long have I been using marijuana? ","1","0.11"
"how long have I smoked cannabis","1","0.11"
"how long have i used?","1","0.11"
"How long it takes to get to a dispensary. Do you have a dispensary in your neighborhhood. ","1","0.11"
"How many years have you had your mmj certification for?","1","0.11"
"How much is the right price","1","0.11"
"How much more cannabis would you use if you could afford it?","1","0.11"
"How much should cannabis cost.","1","0.11"
"How often and how much","1","0.11"
"how often do you consume cannabis with recreational users?","1","0.11"
"How old are you? When did you receive your mmj certification?","1","0.11"
"How old when you first started using cannabis?","1","0.11"
"how people can trust varying test results from different labs and are dispensaries properly labeling products.","1","0.11"
"How pricing is determined. It's way to expensive.","1","0.11"
"How this would affect pharmaceutical companies if pass fedderly.","1","0.11"
"how to dose","1","0.11"
"How to grow in home and where to get seeds and starter plants","1","0.11"
"How to keep away from children","1","0.11"
"How to maintain supply of favorite strains.","1","0.11"
"How to make delivery more convenient.dispenseries have different strains, maybe to far to travel to","1","0.11"
"how to obtain grow license","1","0.11"
"How to talk to your kids so you aren't worried about what they say to others.","1","0.11"
"How well canvas works for you","1","0.11"
"How will adult use legalization affect the medical market?","1","0.11"
"How will the money that the pot industry is projected to generate, which is billions of dollars, affect the quality of the product, the quality of the individuals providing it and the product's availability?","1","0.11"
"How will this survey help with the stigma of cannabis; how will this assist with cannabis being recognized as an alternative to opioids for pain medication. ","1","0.11"
"I'm good ","1","0.11"
"I'm happy with the questions","1","0.11"
"I'm not sure","1","0.11"
"I'm pretty satisfied with the questions asked so far","1","0.11"
"I am very interested in how dispensaries will handle medical and recreational. For example I have heard of separate lines and guaranteed inventory for medical card holders. So I am interested in how recreational legalization will affect my experience as a medical card holder.","1","0.11"
"I can't think of any","1","0.11"
"I can't think of any at the moment.","1","0.11"
"I can't think of any. ","1","0.11"
"I can't think of one","1","0.11"
"I can't think of one at the moment.","1","0.11"
"I can’t think of any ","1","0.11"
"I can’t think of anything, at this time.","1","0.11"
"I can’t tolerate THC, I have hallucinations, anxiety, it’s horrible. In the 70’s I tried smoking pot and I came to conclusion that it wasn’t for me.","1","0.11"
"I cant think of any","1","0.11"
"I don't know?","1","0.11"
"I don’t ask questions unless it’s about the price because you people are ridiculous with the price you charge ","1","0.11"
"I don’t have any questions .","1","0.11"
"I don’t have more?","1","0.11"
"I don’t know","1","0.11"
"I have none","1","0.11"
"I have none at this time","1","0.11"
"I have none!","1","0.11"
"I honestly have no idea.","1","0.11"
"I smoked recreationally when I was younger. Now, I'd like to see more newbie education","1","0.11"
"I think the medical card should last more than a year. I have gotten off Fentanyl with the use of CBD and THC. I do have belly pain though from the Whipple Surgery","1","0.11"
"I think you've got it","1","0.11"
"I think you covered it","1","0.11"
"i think you covered it all","1","0.11"
"I think you covered it.","1","0.11"
"I want to see doctors working with dispensaries and this survey gives me great hope ","1","0.11"
"I would fully support federal and state tax money being used to properly research cannabis. I would not support pharmaceutical companies patenting the molecule, and I would not consume cannabis that has been neutered into a pill. ","1","0.11"
"I would like more info on dosing to achieve maximum results for different conditions. ","1","0.11"
"I would like to get more specific about the prices, availability, and certain dispensories.","1","0.11"
"I would like to know how we can lower the price enough to allow me to not have to ration it. I might be able to lower my opiods if I could actually afford to buy the amount I really need.","1","0.11"
"I would love to know a thorough, non-biased view of how risky smoking flower is for things such as lung cancer. I also would love to know more about vape cartridge risk, particularly if it's okay to use within plastic cartridges, how to know if the distillate is breaking down, negative potential effects, etc. ","1","0.11"
"I’m concerned about cannabis remaining highly stigmatized due to employment drug testing. Legalization and more supportive research will accomplish nothing if people are afraid to consume due to drug screenings. ","1","0.11"
"I’m good ","1","0.11"
"I’m not sure","1","0.11"
"I’m not sure. ","1","0.11"
"Idk","1","0.11"
"If cannabis is a medical thing, why isn't it covered by insurance?","1","0.11"
"If I can afford to pay for the only thing that helps my pain and if I can or can't afford it","1","0.11"
"If I know what specific strains treat for medical needs ","1","0.11"
"If there will ever be federally recognized as medically needed form of treatment covered under insurances. Would love to see more affordable pricing at dispensary for those with conditions as states move forward to legalizing use for all. ","1","0.11"
"If whether or not I believe insurance companies should be responsible for assiting with paying for cannabis. They already pay for deadly drugs, drugs which have a proven track record of abuse.","1","0.11"
"If you've felt the need to stop using marijuana and couldn't","1","0.11"
"if you did not use cannabis for medical reason would you use it for recreational purposes?","1","0.11"
"im good","1","0.11"
"Im not sure ","1","0.11"
"In many of the multiple choice questions, there were separate answers for THC and THCa, as well as for CBD and CBDa - and I thought this was getting into a misleading detail because in these answers you could not choose more than one.","1","0.11"
"Inquiring about knowledge about proper approach to edibles in terms of dosage and maximizing bioavailability for people who might have issues getting consistent effects from oral ingestion of THC and CBD.","1","0.11"
"Is cannabis over regulated?","1","0.11"
"Is it a gateway drug or alcohol?","1","0.11"
"Is there any way to add to the list of MA qualifying conditions? Dysmenorrhea/PMS/PMDD are not on the list, but cannabis absolutely is a great treatment! The list needs to be updated. ","1","0.11"
"Is there such thing as smoking to much  ","1","0.11"
"Is your favorite strain always in stock?","1","0.11"
"Issues concerning home growing including buying seeds, landlord restrictions, regulations, etc","1","0.11"
"It's important to me that the populations most impacted by the past illegalization of cannabis are given first place in receiving business licenses, get favorable loans, etc. That would/will affect what products I purchase.","1","0.11"
"It's not a question, but I would love instructional workshops on site about the growing and cultivation process. The employees are brilliant, but a guided tour to see the seed to harvest process could dispel a lot of misinformation. ","1","0.11"
"It's not which questions, it's just that some of you multiple choice didn't have a correct choice among the selections for my situation. I am a disabled semi-shut in with little use experience. ","1","0.11"
"It should be cheaper","1","0.11"
"It would be nice that more dispensaries ask if you need to sit with an advisor or someone that can spend a lot of time with you to answer questions you may have and cater your consumption to your medical problems","1","0.11"
"Lab testing for pesticides. Why did the majority of dispensaries in California they all their pesticide testing? How many dispensaries in Massachusetts would feel their pesticide testing? We are told there are no pesticides on the cannabis. Yet, my allergies flare up severely after medicating sometimes.","1","0.11"
"Law","1","0.11"
"Level of experience. When they began. How their tolerance has changed over time.","1","0.11"
"long term effects on using cannabis on a regular basis","1","0.11"
"Maybe if we know someone who needs it but wont because of socieatal pressure or stigma/ uninformed shame","1","0.11"
"Medical conditions that are impacted by cannabis use (bipolar disorder, other mental health conditions).","1","0.11"
"More emphasis on relationship between the person recommending what to use and the consumer.","1","0.11"
"More information on how to take edibles like how much and how to use some types of edible cannibus that I'm not familiar with. ","1","0.11"
"More self medication, outside controlled use.","1","0.11"
"Most frequently used brands.","1","0.11"
"My doctor had already answered all the key questions. He's very good. We need more doctors in pain management.","1","0.11"
"My tolerance level. ","1","0.11"
"N.a","1","0.11"
"N/A  ","1","0.11"
"n\a","1","0.11"
"NA    ","1","0.11"
"Nada ","1","0.11"
"Need more info on specific strains. Need more info on strains used in tinctures. More feedback from users or studies on all products","1","0.11"
"Need to fix medical program issues and reboot this license process ","1","0.11"
"negative long term effects","1","0.11"
"New methods for producing better concentrated ","1","0.11"
"No ","1","0.11"
"No  ","1","0.11"
"No clue","1","0.11"
"No e","1","0.11"
"No idea","1","0.11"
"No mention of mold issues which have been a problem in MA - people need to be informed and “quality” isn’t specific enough ","1","0.11"
"No question ","1","0.11"
"No questions geared towards Caregivers","1","0.11"
"noen","1","0.11"
"Nome","1","0.11"
"Non that I can think of","1","0.11"
"Non, great job!","1","0.11"
"none  ","1","0.11"
"None at the moment!","1","0.11"
"None come to mind","1","0.11"
"none so far ","1","0.11"
"None thanks ","1","0.11"
"None that I can think of ","1","0.11"
"None that I can think of right now.","1","0.11"
"None that I can think of. Came back to redo answer. In the questions that follow, under education, you ask only about high school and college, but not trade school.","1","0.11"
"None you covered it","1","0.11"
"None!","1","0.11"
"None, but you really need to make some questions NOT required. I'm sure there are some people like me who get their products from friends of friends, and really are not knowlegeable at all. ","1","0.11"
"None, covered all bases","1","0.11"
"None, thank you for conducting this research","1","0.11"
"None, this was a pretty comprehensive survey","1","0.11"
"None.  I'm no expert.","1","0.11"
"none. I need to do some research on my own","1","0.11"
"None. My biggest concern is young kids access to cannabis","1","0.11"
"nonw","1","0.11"
"not any i can think of right now ","1","0.11"
"not applicable","1","0.11"
"Not applicable","1","0.11"
"Not applicable ","1","0.11"
"Not at this time","1","0.11"
"Not e","1","0.11"
"Not one","1","0.11"
"Not really  ","1","0.11"
"Not Sure","1","0.11"
"not sure ","1","0.11"
"Not sure?!?!?","1","0.11"
"Nothing  ","1","0.11"
"Nothing comes to mind. ","1","0.11"
"nothing i can think of","1","0.11"
"Nothing I can think of.","1","0.11"
"Nothing.","1","0.11"
"Organic cultivation is important","1","0.11"
"Pass","1","0.11"
"Patient privacy ","1","0.11"
"Percentage of ppl who buy it","1","0.11"
"Pesticides and such. Not just organic. I came from California. There is so much info about your product. Here, a warning that it may be unsafe!","1","0.11"
"pesticides used at local dispensaries, waste management processes, health insurance, federal legalization-is it a good thing, big pharma","1","0.11"
"Possibly, what positive and negative affects indica sativa and hybrids have on the persons taking the survey","1","0.11"
"Potential harmful ingredients in vape cartridges","1","0.11"
"Pretty solid set!","1","0.11"
"purchasing not in dispensary what are the rules ","1","0.11"
"Quality ","1","0.11"
"Questions about cost of products ","1","0.11"
"Questions regarding testing requirements. ","1","0.11"
"Questions related to criminal justice.  What should we do with youth offenders? Should we treat 18-20 year olds differently than 17 and younger?   What should the penalty for selling without a license? Should it be civil or criminal? ","1","0.11"
"Questions were fine","1","0.11"
"Racial barriers to accessing care.","1","0.11"
"Regarding cannabis use as neither ""social"" or ""medicinal"" but rather ""nutritional"" (as God intended).  Plus many of your answer sets are not appropriate for micro-dosers.","1","0.11"
"Regarding the importance of factors when selecting cannabis products: environmental impact/sustainability of source. ","1","0.11"
"Relief of pain profile","1","0.11"
"Reporting of terpene profiles.","1","0.11"
"Retroactive amnesty for convicted marijuana offenders.","1","0.11"
"Risk involved","1","0.11"
"Safety, storing it and children at home etc. ","1","0.11"
"Sativa/indica preferences, favorite music/snacks whilst smoking","1","0.11"
"separation of medical sales and recreational sales","1","0.11"
"Should dispensaries have to list every ingredient in every product they sell?  The answer is yes.","1","0.11"
"Should the Federal Government reclassify marijuana? Yes ","1","0.11"
"Since cannabis is legal what about the offenders in jail for crimes related to Marijuana?","1","0.11"
"Social consumption issues are very important.","1","0.11"
"solvent or solvent-less","1","0.11"
"Stavia  vs Indica and how each effect you. ","1","0.11"
"Stigma","1","0.11"
"Still waiting for shops to open ","1","0.11"
"Storage...and cooking help","1","0.11"
"Strain frequencies ","1","0.11"
"Strain types","1","0.11"
"Taste","1","0.11"
"Taxing ","1","0.11"
"Terpine content","1","0.11"
"The cost of treating yourself with it is a huge issue","1","0.11"
"the difference between fear of stigma from loved ones and fear of stigma from society at large","1","0.11"
"The different ways to cook with cannabis","1","0.11"
"The importance of terpenes ","1","0.11"
"The level of thc/CBD ","1","0.11"
"The problem with survey is many questions are not applicable for someone who grows their own. You need to add a ""not applicable"" option to many questions.","1","0.11"
"The survey isnt done yet so im not sure ","1","0.11"
"There isn't any","1","0.11"
"Think you covered everything ","1","0.11"
"This survey asked nothing about community or belonging to a group of like minded individuals.  Would be cool to get a pulse on what folks think about forming/joining a local Cannabis Community. :)","1","0.11"
"Those currently incarcerated for marijuana. ","1","0.11"
"thought you wanted to know more about my smoking","1","0.11"
"Too many questions ","1","0.11"
"Too see if all cannabis should be tested for quality control","1","0.11"
"Training...how important is it to be certified as a cannabis consultant.","1","0.11"
"True strain and product reviews and descriptions are really important.  Most sites use generic descriptions that are not accurate at all.  We want guidance on the actual product we are consuming if it is safe, and what people are saying about it.  ","1","0.11"
"U did good","1","0.11"
"unknown","1","0.11"
"unsure","1","0.11"
"Use before medical marijuana became legal in my state.","1","0.11"
"Using cannabis for working out","1","0.11"
"Ways to smoke flower ","1","0.11"
"We haven't gone through all the questions yet","1","0.11"
"We need better discounts for the medically disabled","1","0.11"
"Well covered","1","0.11"
"What are the long term affects of using?","1","0.11"
"What are you doing to legalize cannabis on a national level?","1","0.11"
"What do I think about how federal legalization of medical cannabis will affect pharmacutical companies? The medical community says there's no value, but have a CBD seizure med coming out on the market. Isn't that ironic?","1","0.11"
"what effects does it have on cancer","1","0.11"
"what I'm trying to achieve ","1","0.11"
"what is healthiest ingestion technique","1","0.11"
"What is your favorite and least favorite part of cannabis?","1","0.11"
"What is your opinion of pharmaceutical companies developing medications based on cannabis molecules?    Are you concerned that big business could negatively impact the cannabis industry or community through unfair business practices or patenting of medicine?","1","0.11"
"What method is best to start using if you’ve never used cannabis ","1","0.11"
"What new types of medical cannabis products would people like to see? ","1","0.11"
"What price deals","1","0.11"
"What types of degrees would be beneficial to have for someone who is interested in the cannabis industry?","1","0.11"
"When did I start smoking cannabis? also, when did I start recreationally vs medically?? ","1","0.11"
"When did I start using cannabis?","1","0.11"
"When did I start using it","1","0.11"
"When will Medicare and medicaid cover the cost?","1","0.11"
"When will recreational use of marijuana, happen. Talk about dragging feet","1","0.11"
"When will the prices drop for hardship","1","0.11"
"WHENS PRICE COMING DOWN ONLY PROBLEM I HAVE!!!","1","0.11"
"Where can I reliably get feminized seeds?  Will they be carried at a dispensary?","1","0.11"
"Where do I consume ?  How long have I had my MMJ card?  Am I happy with the MMJ providers ? ","1","0.11"
"Where do you get your cannabis? Do you advocate for destigmitization? Have you heard public officials making false statements about cannabis or its enthusiasts?","1","0.11"
"Where does it come from?  What is used to grow it?  What is the right stuff for me?","1","0.11"
"Where the money should go in the states that make taxes off recreational marijuana?","1","0.11"
"Whether I feel that it has harmed me in any way (it definitely hasn't!)","1","0.11"
"Which strains are used for specific ailments. ","1","0.11"
"Who do you smoke with? ","1","0.11"
"WHY CANNABIS WORKERS GET PAID SO LITTLE WHEN THEIR WORK IS SO CRUCIAL. THESE PEOPLE WHO WORK HR IN THESE COMPANIES ARE MAKING BANK WHILE PEOPLE ON BOTTOM ARE DOING ALL THE WORK FOR THEM. ALSO Y'ALL NEED TO GIVE MONEY BACK TO BLACK COMMUNITIES IN MASSACHUSETTS. THIS INDUSTRY NEEDS TO STEP UP IN THOSE REGARDS. I UNDERSTAND THAT PROFIT KEEPS PEOPLE UP AT NIGHT BUT Y'ALL SEEM TO BE OBLIVIOUS TO THE FACT THAT PEOPLE WHO WERE DOING THIS IMPORTANT WORK GIVING PEOPLE MEDICINE ARE IN PRISON WHILE Y'ALL SIMPLY HOP ON THE BANDWAGON WHEN IT IS LEGAL. PEOPLE STILL PAYING A PRETTY PENNY FOR THESE CANNABIS PRODUCTS AND Y'ALL SHOULD USE A GOOD AMOUNT OF THAT MONEY TO ADVOCATE FOR PEOPLE IN PRISON FOR DOING WHAT YOU ARE DOING NOW? HOW IS THAT NOT ON YOUR MIND? HOW IS THIS BEING OVERLOOKED? I DONT UNDERSTAND. ","1","0.11"
"Why do we not have the same laws for alcohol that we do for marijuana","1","0.11"
"Why does Massachusetts take so long in opening medical and recreational dispensaries?","1","0.11"
"Why does my drivers license get scanned as a medical user? I believe that a database is being built to give probable cause to search my vehicle in any future traffic stops. Hippa ","1","0.11"
"Why don’t more doctors promote Cannabis use for pain relief especially with the opiate crisis?","1","0.11"
"why is it taking so long for stores to open- it was voted on","1","0.11"
"Why is the state taking so long","1","0.11"
"Why isnt pesticide testing more open for patients. On every label it says it may not meet pesticide standards, gives me more paranoia","1","0.11"
"why prices do not come down","1","0.11"
"Will a medical card holder be considered a recreational user?","1","0.11"
"Will I purchase cannabis at a retail site when there are long-established means to purchase via other means?  ","1","0.11"
"WILL THE PRICES BE DIFFERENT FOR THE MEDICAL COMMUNITY VS RECREATION","1","0.11"
"Will workshops or info groups be held to provide better explanation of exactly how each component of strains works- lots of us “older” patients really need some help understanding how to pick best strains","1","0.11"
"with all the clinical research being done on this topic why are the really good effects of this plant not talked about more  and then there is the tax issue","1","0.11"
"With continual consumption, will you need to increase amount consumed to receive benefits","1","0.11"
"Would I frequent or use a cannabis cafe? How often would I frequent or use a cannabis cafe?","1","0.11"
"Would I like to be involved in cannabis professionally, because yes I would.","1","0.11"
"Would you like cannabis to be allowed in nursing homes and assisted living. For elderly ","1","0.11"
"Would you like more variety in strain6","1","0.11"
"Would you like the price lowered","1","0.11"
"Would you work in the cannabis industry?","1","0.11"
"You asked about what meds I'm trying to cut back on with cannabis use not what you have replaced with cannabis use. I am now on zero pharmaceuticals and used to be on up to 6 at a time. ","1","0.11"
"you asked them all","1","0.11"
"You asked them all ","1","0.11"
"You asked them all.","1","0.11"
"You could ask if I'm pretty loyal to just one dispensary or if I use a bunch of different ones and what my motivation might be either way","1","0.11"
"You covered everything very thoroughly!","1","0.11"
"You covered it all","1","0.11"
"You did a good job. ","1","0.11"
"You didn't ask anything about minority communities negatively affected by prohibition. You should ask whether people think its important for emerging/legal businesses to benefit effected communities. ","1","0.11"
"You didn't ask if I've done political advocacy around cannabis consumption, legalization.","1","0.11"
"You didn't ask us about scientific research and how important it is for us to see this on all the cannabis sites and dispensary sites. The results of these studies should be available so we can all learn the facts and dispel the rumors.  ","1","0.11"
"You didn’t ask if I ever have felt impaired from using cannabis and which methods of consumption may cause impairment more easily. ","1","0.11"
"You didn’t ask why I am using medical cannabis. I have PTSD, anxiety and depression. ","1","0.11"
"You got it all that I can think of","1","0.11"
"you got them all","1","0.11"
"You guys covered it pretty well","1","0.11"
"You hit everything I can think of right now ","1","0.11"
"You hit them all","1","0.11"
"you were very thorough. you asked everything.","1","0.11"
"You’ve done very well! ","1","0.11"
"Young people should be vaporizing, not smoking.  A great question would be:  Given the known consequences of smoking anything, would you recommend that the new wave of cannabis users, focus on vaporizing?","1","0.11"
