"q52","What questions regarding cannabis did we not ask that are important to you?","n =  696"
"consistency of vape cartridges  ","1","0.14"
"Cost","1","0.14"
"Cost pricing","1","0.14"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.14"
"Covered everything ","1","0.14"
"Current Legal ramifications ","1","0.14"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.14"
"Did you ever consumed cannabis prior, illegally? and Where you still a regular pot smoker before discovering it as a medicinal tool?","1","0.14"
"Did you grow up in a family where Cannabis was used?","1","0.14"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.14"
"Do you believe that your primary care doctor believes in the stigma or will help you?","1","0.14"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.14"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.14"
"Do you grow your own medical marijuana?","1","0.14"
"Do you know anyone else with a medical card ","1","0.14"
"Do you know someone who grows","1","0.14"
"Do you know the difference between indica & sativa?","1","0.14"
"Do you make any cannabis products for yourself?","1","0.14"
"Do you think cannabis has different effects on females vs. males ?","1","0.14"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.14"
"Do you think the US government should actively increase research into the medical benefits of cannabis? Do you think that the federal government discriminates against people of color/people with drug-related criminal histories? (YES)","1","0.14"
"Do you think there should be public smoking establishments? Example- lounges/gyms","1","0.14"
"Do you use cannabis for your pets or a caretaker for loved ones","1","0.14"
"Do you want some?","1","0.14"
"Does cannabis treat the symptoms you experience on a daily basis? ","1","0.14"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.14"
"Don't have any","1","0.14"
"Don't have any feedback. ","1","0.14"
"Don’t have any questions","1","0.14"
"Don’t know","1","0.14"
"dose of cbd separate from thc.  expirience with terpenes.  condition specific info.  ","1","0.14"
"drug/drug interactions and more about testing and cultivation parameters","1","0.14"
"🤷‍♀️","1","0.14"
"Economic ","1","0.14"
"educational resources to continue education & support groups","1","0.14"
"Effects and recommended use by ailment","1","0.14"
"Effects of job scrutiny for disabled persons that ""use"" cannabis throughout the day to numb the daily pain levels enough to function at a more ""normal "" acceptable level. ","1","0.14"
"fda","1","0.14"
"Federal legalization, and the education of the masses.","1","0.14"
"For those who have come off of opiates and other drugs, there were only questions about present use, not past use. More questions about policies and knowledge of staff at dispensaries","1","0.14"
"Getting into the biz","1","0.14"
"Getting more information about getting a medical card ","1","0.14"
"Have anyone in the history of cannabis use ever overdose. ","1","0.14"
"Have i or anyone i know been disproportionately affected by cannabis related crimes prior to the recreational release","1","0.14"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.14"
"How can we end the war on the poor and the war on drugs? How can we help those who have been abused by the justice system because of a plant?","1","0.14"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.14"
"How comfortable are you with the quality of the bud you are receiving?","1","0.14"
"How do I feel about jobs still testing for marijuana use regardless if you have a medical license or not?","1","0.14"
"How do the people you live with feel about your cannabis use?","1","0.14"
"How do we think the state is doing implementing leagl canabis","1","0.14"
"How do you feel about the black/grey market? Not good, the community rips itself apart from the inside due to greed, I don't know if it would be different if it was completely legal but this infighting would happen within companies not in the community for everyone to feel uncomfortable.","1","0.14"
"How do you select a cannabis doctor?","1","0.14"
"How Does cannabis effect your spiritually?  ","1","0.14"
"How does cannabis help you?","1","0.14"
"how does cannabis impact your relations with other people?","1","0.14"
"How does cannabis make you feel?","1","0.14"
"How does cannabis use increase an active lifestyle?","1","0.14"
"How does indica and sativa affect you differently? Do you know the difference in strains and why they are different? ","1","0.14"
"How does it feel if you consumed?  ","1","0.14"
"How does using cannabis make you feel and how does it help in your daily life?","1","0.14"
"How far do you have to travel to obtain Cannabis from a dispensary?","1","0.14"
"How I feel about pricing and whether insurance companies should be forced to cover cost","1","0.14"
"How important is it to know how, where, and with what intention the cannabis was grown? ","1","0.14"
"How it effects daily life?  How it effects users socially, or in interpersonal relationships.   ","1","0.14"
"How knowledge of cannabis was acquired ","1","0.14"
"How long Cannabis are really still fresh?","1","0.14"
"How long have I been using marijuana? ","1","0.14"
"how long have i used?","1","0.14"
"How long it takes to get to a dispensary. Do you have a dispensary in your neighborhhood. ","1","0.14"
"How much do you love cannabis","1","0.14"
"How much more cannabis would you use if you could afford it?","1","0.14"
"How much should cannabis cost.","1","0.14"
"how often do you consume cannabis with recreational users?","1","0.14"
"How old when you first started using cannabis?","1","0.14"
"How pricing is determined. It's way to expensive.","1","0.14"
"how to dose","1","0.14"
"how to obtain grow license","1","0.14"
"How to talk to your kids so you aren't worried about what they say to others.","1","0.14"
"How will adult use legalization affect the medical market?","1","0.14"
"I'm happy with the questions","1","0.14"
"I'm not sure","1","0.14"
"I'm pretty satisfied with the questions asked so far","1","0.14"
"I can't think of any","1","0.14"
"I can't think of any at the moment.","1","0.14"
"I can't think of any. ","1","0.14"
"I can't think of one","1","0.14"
"I can’t think of any ","1","0.14"
"I cant think of any","1","0.14"
"I don't know?","1","0.14"
"I don’t ask questions unless it’s about the price because you people are ridiculous with the price you charge ","1","0.14"
"I don’t know","1","0.14"
"I have none","1","0.14"
"I have none!","1","0.14"
"I honestly have no idea.","1","0.14"
"I think you've covered most things. ","1","0.14"
"I think you covered it","1","0.14"
"i think you covered it all","1","0.14"
"I think you covered it all","1","0.14"
"I think you covered it.","1","0.14"
"I want to see doctors working with dispensaries and this survey gives me great hope ","1","0.14"
"I would fully support federal and state tax money being used to properly research cannabis. I would not support pharmaceutical companies patenting the molecule, and I would not consume cannabis that has been neutered into a pill. ","1","0.14"
"I would love to know a thorough, non-biased view of how risky smoking flower is for things such as lung cancer. I also would love to know more about vape cartridge risk, particularly if it's okay to use within plastic cartridges, how to know if the distillate is breaking down, negative potential effects, etc. ","1","0.14"
"I’m concerned about cannabis remaining highly stigmatized due to employment drug testing. Legalization and more supportive research will accomplish nothing if people are afraid to consume due to drug screenings. ","1","0.14"
"I’m not sure","1","0.14"
"I’m not sure. ","1","0.14"
"idk","1","0.14"
"Idk","1","0.14"
"If cannabis is a medical thing, why isn't it covered by insurance?","1","0.14"
"If I can afford to pay for the only thing that helps my pain and if I can or can't afford it","1","0.14"
"If I know what specific strains treat for medical needs ","1","0.14"
"If whether or not I believe insurance companies should be responsible for assiting with paying for cannabis. They already pay for deadly drugs, drugs which have a proven track record of abuse.","1","0.14"
"If you've felt the need to stop using marijuana and couldn't","1","0.14"
"Im not sure ","1","0.14"
"In many of the multiple choice questions, there were separate answers for THC and THCa, as well as for CBD and CBDa - and I thought this was getting into a misleading detail because in these answers you could not choose more than one.","1","0.14"
"Inquiring about knowledge about proper approach to edibles in terms of dosage and maximizing bioavailability for people who might have issues getting consistent effects from oral ingestion of THC and CBD.","1","0.14"
"Is cannabis over regulated?","1","0.14"
"Is it a gateway drug or alcohol?","1","0.14"
"Is it natural","1","0.14"
"Is there a scientific source of information that can tell me what is honest about the research of cannabis [and all its related compounds] available to the general public?    AKA is there is universal source for ""average people"" to investigate the pros and cons of usage of psycho-active cannabis?    If not we are failing as an entity.","1","0.14"
"Is there any way to add to the list of MA qualifying conditions? Dysmenorrhea/PMS/PMDD are not on the list, but cannabis absolutely is a great treatment! The list needs to be updated. ","1","0.14"
"Is there such thing as smoking to much  ","1","0.14"
"Is your favorite strain always in stock?","1","0.14"
"It's important to me that the populations most impacted by the past illegalization of cannabis are given first place in receiving business licenses, get favorable loans, etc. That would/will affect what products I purchase.","1","0.14"
"It's not a question, but I would love instructional workshops on site about the growing and cultivation process. The employees are brilliant, but a guided tour to see the seed to harvest process could dispel a lot of misinformation. ","1","0.14"
"It should be cheaper","1","0.14"
"It would be nice that more dispensaries ask if you need to sit with an advisor or someone that can spend a lot of time with you to answer questions you may have and cater your consumption to your medical problems","1","0.14"
"Knowledge of terpenes?   Consistency of products?","1","0.14"
"Laboratory testing","1","0.14"
"Level of experience. When they began. How their tolerance has changed over time.","1","0.14"
"Liklihood or interest in working in the cannabis industry. ","1","0.14"
"long term effects on using cannabis on a regular basis","1","0.14"
"Many questions did not apply to me and I could not state that as there was no option for 1 who consumes illegally. ","1","0.14"
"Maybe if we know someone who needs it but wont because of socieatal pressure or stigma/ uninformed shame","1","0.14"
"Medical conditions that are impacted by cannabis use (bipolar disorder, other mental health conditions).","1","0.14"
"Microdosing  Non psychoactive treatment of symptoms   ","1","0.14"
"More about terpenes and their benefits","1","0.14"
"More nuanced questions about stigma from family and friends","1","0.14"
"Most frequently used brands.","1","0.14"
"My tolerance level. ","1","0.14"
"N.a","1","0.14"
"n/a ","1","0.14"
"N/A  ","1","0.14"
"n\a","1","0.14"
"N\A","1","0.14"
"NA    ","1","0.14"
"Nada ","1","0.14"
"Need to fix medical program issues and reboot this license process ","1","0.14"
"negative long term effects","1","0.14"
"No ","1","0.14"
"No  ","1","0.14"
"No e","1","0.14"
"No mention of mold issues which have been a problem in MA - people need to be informed and “quality” isn’t specific enough ","1","0.14"
"No question ","1","0.14"
"No questions geared towards Caregivers","1","0.14"
"Nome","1","0.14"
"none  ","1","0.14"
"None come to mind","1","0.14"
"None identified","1","0.14"
"none so far ","1","0.14"
"None that I can think of","1","0.14"
"None that I can think of ","1","0.14"
"None that I can think of right now.","1","0.14"
"None that I know of.","1","0.14"
"None you covered it","1","0.14"
"None!","1","0.14"
"None, but you really need to make some questions NOT required. I'm sure there are some people like me who get their products from friends of friends, and really are not knowlegeable at all. ","1","0.14"
"None, this was a pretty comprehensive survey","1","0.14"
"nono","1","0.14"
"not any i can think of right now ","1","0.14"
"not applicable","1","0.14"
"Not applicable","1","0.14"
"Not applicable ","1","0.14"
"Not e","1","0.14"
"Not one","1","0.14"
"Not Sure","1","0.14"
"Not sure if this applies to your research, but I would ask people their thoughts on what cannabis being illegal does to individuals and communities (especially the sick or disabled who may need it for medical reasons, and racial and class minorities that are disproportionately arrested and convicted) and how legalization would/does affect this. ","1","0.14"
"Not sure?!?!?","1","0.14"
"Nothing  ","1","0.14"
"Nothing comes to mind. ","1","0.14"
"nothing i can think of","1","0.14"
"Nothing I can think of","1","0.14"
"Nothing.","1","0.14"
"O","1","0.14"
"Organic cultivation is important","1","0.14"
"Pass","1","0.14"
"Patient privacy ","1","0.14"
"Percentage of ppl who buy it","1","0.14"
"Pesticides and such. Not just organic. I came from California. There is so much info about your product. Here, a warning that it may be unsafe!","1","0.14"
"pesticides used at local dispensaries, waste management processes, health insurance, federal legalization-is it a good thing, big pharma","1","0.14"
"Please help the world get out on which conditions that Cannabis & CBD has proven to treat, especially the report from the National Academy of Science, Medicine and Engineering: http://nationalacademies.org/hmd/Reports/2017/health-effects-of-cannabis-and-cannabinoids.aspx  Thank you!","1","0.14"
"Possibly, what positive and negative affects indica sativa and hybrids have on the persons taking the survey","1","0.14"
"Potential harmful ingredients in vape cartridges","1","0.14"
"Pretty much covered everything. I am happy to see that there is research being done on the use & benefits of cannabis :) ","1","0.14"
"Price","1","0.14"
"Pushing the discussion to have insurance coverage. Or open the two approved FDA cannabis treatments for more diagnoses. ","1","0.14"
"Quality ","1","0.14"
"Questions about cost of products ","1","0.14"
"Questions regarding how cannabis appears to resolve medical issues","1","0.14"
"Questions regarding knowledge of cannabinoids other than THC and CBD, perhaps. ","1","0.14"
"Questions regarding testing requirements. ","1","0.14"
"Questions reguarding future usage ","1","0.14"
"Questions related to criminal justice.  What should we do with youth offenders? Should we treat 18-20 year olds differently than 17 and younger?   What should the penalty for selling without a license? Should it be civil or criminal? ","1","0.14"
"Questions were fine","1","0.14"
"Racial barriers to accessing care.","1","0.14"
"Regarding the importance of factors when selecting cannabis products: environmental impact/sustainability of source. ","1","0.14"
"Retroactive amnesty for convicted marijuana offenders.","1","0.14"
"Safety, storing it and children at home etc. ","1","0.14"
"Sativa/indica preferences, favorite music/snacks whilst smoking","1","0.14"
"Should dispensaries have to list every ingredient in every product they sell?  The answer is yes.","1","0.14"
"Since cannabis is legal what about the offenders in jail for crimes related to Marijuana?","1","0.14"
"Social consumption, activities enjoyed while consuming","1","0.14"
"solvent or solvent-less","1","0.14"
"Stats on use in general  Public","1","0.14"
"Stavia  vs Indica and how each effect you. ","1","0.14"
"Storage...and cooking help","1","0.14"
"Strain frequencies ","1","0.14"
"Taxing ","1","0.14"
"Terpene profile questions and more about the legitimacy of testing","1","0.14"
"Terpine content","1","0.14"
"The best strains for different medical conditions","1","0.14"
"The cost of treating yourself with it is a huge issue","1","0.14"
"the difference between fear of stigma from loved ones and fear of stigma from society at large","1","0.14"
"The effects of cannabis on the brain ","1","0.14"
"The importance of terpenes ","1","0.14"
"The level of thc/CBD ","1","0.14"
"The survey isnt done yet so im not sure ","1","0.14"
"There isn't any","1","0.14"
"THINK YOU COVERED EVERYTHING","1","0.14"
"Think you covered everything ","1","0.14"
"This survey asked nothing about community or belonging to a group of like minded individuals.  Would be cool to get a pulse on what folks think about forming/joining a local Cannabis Community. :)","1","0.14"
"This survey didn't ask as many questions about access to cannabis education in the areas of personal cultivation as I would have liked. I'm interested in the growing culture around home grows and how things like heirloom strains and breeding and small-batch strains and the communities around home grows are doing.","1","0.14"
"Those currently incarcerated for marijuana. ","1","0.14"
"Too see if all cannabis should be tested for quality control","1","0.14"
"True strain and product reviews and descriptions are really important.  Most sites use generic descriptions that are not accurate at all.  We want guidance on the actual product we are consuming if it is safe, and what people are saying about it.  ","1","0.14"
"U did good","1","0.14"
"unknown","1","0.14"
"unsure","1","0.14"
"Using cannabis for working out","1","0.14"
"Ways to smoke flower ","1","0.14"
"We haven't gone through all the questions yet","1","0.14"
"Well covered","1","0.14"
"What's your tolerance? How did you start? ","1","0.14"
"what I'm trying to achieve ","1","0.14"
"What is your favorite and least favorite part of cannabis?","1","0.14"
"What is your opinion of pharmaceutical companies developing medications based on cannabis molecules?    Are you concerned that big business could negatively impact the cannabis industry or community through unfair business practices or patenting of medicine?","1","0.14"
"What kind of new strains would you like to see in dispensary?","1","0.14"
"What method is best to start using if you’ve never used cannabis ","1","0.14"
"What new types of medical cannabis products would people like to see? ","1","0.14"
"What prescription medications have you been able to eliminate because of your cannabis use?","1","0.14"
"What price deals","1","0.14"
"What ratios of CBD:THC are best for my specific health concerns?  ","1","0.14"
"What strains for specific ailments? ","1","0.14"
"What THC/CBD ratio do you feel is more suited to treating your disease?  ","1","0.14"
"What types of degrees would be beneficial to have for someone who is interested in the cannabis industry?","1","0.14"
"When did I first use marijuana ","1","0.14"
"When did I start smoking cannabis? also, when did I start recreationally vs medically?? ","1","0.14"
"When did I start using cannabis?","1","0.14"
"When will prices go down?","1","0.14"
"When will recreational use of marijuana, happen. Talk about dragging feet","1","0.14"
"When will the prices drop for hardship","1","0.14"
"Where do I consume ?  How long have I had my MMJ card?  Am I happy with the MMJ providers ? ","1","0.14"
"Where do you get your cannabis? Do you advocate for destigmitization? Have you heard public officials making false statements about cannabis or its enthusiasts?","1","0.14"
"Where does it come from?  What is used to grow it?  What is the right stuff for me?","1","0.14"
"Where the money should go in the states that make taxes off recreational marijuana?","1","0.14"
"Whether I feel that it has harmed me in any way (it definitely hasn't!)","1","0.14"
"Which kind of legalization you support","1","0.14"
"Which strains are used for specific ailments. ","1","0.14"
"Who do you smoke with? ","1","0.14"
"Why are pain patients told they must choose between MMJ and opioids? There doesn’t seem to be tons of research indicating they can’t be used together, and in fact MMJ has been the only treatment modality that has allowed me to significantly reduce the amount of opioids I take.","1","0.14"
"WHY CANNABIS WORKERS GET PAID SO LITTLE WHEN THEIR WORK IS SO CRUCIAL. THESE PEOPLE WHO WORK HR IN THESE COMPANIES ARE MAKING BANK WHILE PEOPLE ON BOTTOM ARE DOING ALL THE WORK FOR THEM. ALSO Y'ALL NEED TO GIVE MONEY BACK TO BLACK COMMUNITIES IN MASSACHUSETTS. THIS INDUSTRY NEEDS TO STEP UP IN THOSE REGARDS. I UNDERSTAND THAT PROFIT KEEPS PEOPLE UP AT NIGHT BUT Y'ALL SEEM TO BE OBLIVIOUS TO THE FACT THAT PEOPLE WHO WERE DOING THIS IMPORTANT WORK GIVING PEOPLE MEDICINE ARE IN PRISON WHILE Y'ALL SIMPLY HOP ON THE BANDWAGON WHEN IT IS LEGAL. PEOPLE STILL PAYING A PRETTY PENNY FOR THESE CANNABIS PRODUCTS AND Y'ALL SHOULD USE A GOOD AMOUNT OF THAT MONEY TO ADVOCATE FOR PEOPLE IN PRISON FOR DOING WHAT YOU ARE DOING NOW? HOW IS THAT NOT ON YOUR MIND? HOW IS THIS BEING OVERLOOKED? I DONT UNDERSTAND. ","1","0.14"
"Why does Massachusetts take so long in opening medical and recreational dispensaries?","1","0.14"
"Why don’t more doctors promote Cannabis use for pain relief especially with the opiate crisis?","1","0.14"
"Why is buying on the street more cost effective than a dispensary ","1","0.14"
"Why isnt pesticide testing more open for patients. On every label it says it may not meet pesticide standards, gives me more paranoia","1","0.14"
"why prices do not come down","1","0.14"
"why the government has carried on with this prohibition for so long, injuring the american people as a whole","1","0.14"
"With continual consumption, will you need to increase amount consumed to receive benefits","1","0.14"
"Would like to see mandatory cannabinoid and terpenoid profiles on products in order to improve efficacy","1","0.14"
"Would you like more variety in strain6","1","0.14"
"Would you like the price lowered","1","0.14"
"Would you want better testing for cannabis for DUI purposes? How should this testing be applied? (Blood, urine, mouth swab?)","1","0.14"
"Would you work in the cannabis industry?","1","0.14"
"You asked about what meds I'm trying to cut back on with cannabis use not what you have replaced with cannabis use. I am now on zero pharmaceuticals and used to be on up to 6 at a time. ","1","0.14"
"You asked them all ","1","0.14"
"You asked them all.","1","0.14"
"You could ask if I'm pretty loyal to just one dispensary or if I use a bunch of different ones and what my motivation might be either way","1","0.14"
"You covered everything very thoroughly!","1","0.14"
"You covered it all","1","0.14"
"You did a good job. ","1","0.14"
"You didn't ask anything about minority communities negatively affected by prohibition. You should ask whether people think its important for emerging/legal businesses to benefit effected communities. ","1","0.14"
"You didn't ask if I've done political advocacy around cannabis consumption, legalization.","1","0.14"
"You didn’t ask if I ever have felt impaired from using cannabis and which methods of consumption may cause impairment more easily. ","1","0.14"
"You didn’t ask why I am using medical cannabis. I have PTSD, anxiety and depression. ","1","0.14"
"You dont ask about the smell of the weed. for me is extremly important in my choise","1","0.14"
"You guys covered it pretty well","1","0.14"
"You hit everything I can think of right now ","1","0.14"
"You hit them all","1","0.14"
"you should put this question at the very end","1","0.14"
"you were very thorough. you asked everything.","1","0.14"
"You’ve done very well! ","1","0.14"
"Young people should be vaporizing, not smoking.  A great question would be:  Given the known consequences of smoking anything, would you recommend that the new wave of cannabis users, focus on vaporizing?","1","0.14"
