"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10178427378,"Favorite Strain","Cost/Price","THC Content"
10176318815,"Other cannabinoids and terpenes","THC Content","CBD Content"
10158359541,"THC Content","Quality","Cost/Price"
10129462723,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10127347345,"Quality","Cost/Price","THC Content"
10127222916,"Format (flower, vape, edibles, etc)","Cost/Price","Favorite Strain"
10123332415,"Quality","Cost/Price","THC Content"
10120110022,"Favorite Strain","THC Content","Cost/Price"
10118620332,"Cost/Price","THCa","Format (flower, vape, edibles, etc)"
10117867617,"Quality","CBD Content","Cost/Price"
10539029989,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10340127453,"Quality","Other cannabinoids and terpenes","THC Content"
10260504037,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10198147123,"Format (flower, vape, edibles, etc)","Quality","Other cannabinoids and terpenes"
10191237902,"Cost/Price","Quality","THC Content"
10166563134,"Cost/Price","THC Content","CBD Content"
10153739906,"Cost/Price","Quality","THC Content"
10149452852,"THC Content","Cost/Price","Quality"
10143215809,"Format (flower, vape, edibles, etc)","Quality","CBD Content"
10142571108,"CBD Content","Quality","Cost/Price"
10142388213,"THC Content","CBD Content","CBDa"
10137267705,"CBD Content","THC Content","Quality"
10136679921,"Format (flower, vape, edibles, etc)","Cost/Price","CBD Content"
10133313827,"Cost/Price","THC Content","Quality"
10132020171,"Cost/Price","Quality","Favorite Strain"
10131452305,"Other cannabinoids and terpenes","Cost/Price","Quality"
10127502019,"THC Content","Other cannabinoids and terpenes","THCa"
10127389359,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10120129559,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10120091371,"Quality","THC Content","Format (flower, vape, edibles, etc)"
11177812554,"Favorite Strain","Format (flower, vape, edibles, etc)","THC Content"
10544586314,"THC Content","Cost/Price","Quality"
10308943093,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10236014104,"THC Content","Cost/Price","Quality"
10235888421,"Quality","Other cannabinoids and terpenes","THCa"
10229502087,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10207891021,"Cost/Price","Quality","Other cannabinoids and terpenes"
10188601839,"Cost/Price","Quality","Other cannabinoids and terpenes"
10166518570,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10160094020,"Quality","THC Content","CBDa"
10137952529,"THCa","THC Content","Quality"
10132248093,"Quality","CBD Content","THC Content"
10131297032,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10131197986,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10128227172,"Quality","THCa","Other cannabinoids and terpenes"
