"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10127657862,"Quality","Quality",""
10127654232,"THC Content","Cost/Price","Cost/Price"
10127406972,"THC Content","Cost/Price","Cost/Price"
10127251265,"THC Content","THCa","Cost/Price"
10125280005,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
10116480749,"THC Content","Other cannabinoids and terpenes","Cost/Price"
10499323228,"THCa","Format (flower, vape, edibles, etc)","Cost/Price"
10368261978,"Format (flower, vape, edibles, etc)","THCa","Cost/Price"
10353027281,"Favorite Strain","Cost/Price","Quality"
10233153110,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10230603790,"Cost/Price","Favorite Strain","Quality"
10229883527,"THC Content","Quality","Favorite Strain"
10229621245,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","CBD Content"
10229608780,"Format (flower, vape, edibles, etc)","Favorite Strain","Other cannabinoids and terpenes"
10229505690,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10229370437,"THC Content","CBD Content","Other cannabinoids and terpenes"
10223801994,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10190392230,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10157075071,"Quality","THC Content","THC Content"
10143077190,"Cost/Price","THC Content","Favorite Strain"
10137922390,"THC Content","Cost/Price","Quality"
10134444954,"Quality","Favorite Strain","THC Content"
10133256299,"THC Content","CBD Content","Quality"
10131883157,"THC Content","Quality","Favorite Strain"
10130787672,"THC Content","Favorite Strain","Quality"
10127918275,"Cost/Price","THC Content","Other cannabinoids and terpenes"
10127640409,"Cost/Price","Quality","THC Content"
10127434115,"CBD Content","THC Content","Cost/Price"
10127189561,"THC Content","CBD Content","Cost/Price"
10127164315,"CBD Content","Cost/Price","Quality"
10463520639,"CBD Content","CBDa","Cost/Price"
10314764856,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10308744405,"CBD Content","THC Content","Cost/Price"
10259196295,"Quality","Other cannabinoids and terpenes","Cost/Price"
10244892012,"THC Content","Quality","Cost/Price"
10232898612,"Quality","Cost/Price","Favorite Strain"
10232380231,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10231285230,"Format (flower, vape, edibles, etc)","CBD Content","Cost/Price"
10230014122,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10229975238,"CBD Content","THC Content","Quality"
10229687684,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
