Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,,,,,,
10876485783,3,2,1,1,2,5,1,,,,,,,4,1,0,0,1,8,0,14
10876100377,4,5,1,2,4,3,3,,,,,,,6,4,0,1,3,4,4,22
10875944995,4,5,1,2,5,3,5,,,,,,,6,4,0,1,4,4,8,27
10875700450,3,1,2,1,1,1,2,,,,,,,4,0,1,0,0,0,2,7
10875696093,1,2,1,2,3,3,2,,,,,,,0,1,0,1,2,4,2,10
10875617011,2,3,1,2,2,1,3,,,,,,,2,2,0,1,1,0,4,10
10875526461,4,5,2,2,5,3,3,,,,,,,6,4,1,1,4,4,4,24
10875511603,4,4,3,2,4,3,3,,,,,,,6,3,2,1,3,4,4,23
10875507777,4,3,2,3,1,2,3,,,,,,,6,2,1,2,0,2,4,17
10875479466,2,1,1,2,1,1,2,,,,,,,2,0,0,1,0,0,2,5
10875473988,4,5,3,2,3,2,5,,,,,,,6,4,2,1,2,2,8,25
10875467061,3,3,2,2,3,2,3,,,,,,,4,2,1,1,2,2,4,16
10875462742,4,5,5,2,4,3,5,,,,,,,6,4,3,1,3,4,8,29
10875460020,1,2,1,2,1,1,2,,,,,,,0,1,0,1,0,0,2,4
10874749577,4,1,1,2,1,3,2,,,,,,,6,0,0,1,0,4,2,13
10867812743,4,5,1,2,4,3,3,,,,,,,6,4,0,1,3,4,4,22
10867810520,4,1,5,1,1,1,1,,,,,,,6,0,3,0,0,0,0,9
10856437127,4,5,1,2,1,2,5,,,,,,,6,4,0,1,0,2,8,21
10855896441,1,5,1,2,1,2,1,,,,,,,0,4,0,1,0,2,0,7
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sum,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,Light,,,,,,,,,,,,,
0,1,0,1,0,0,2,4,Light,,,,,,,,,,,,,
0,1,1,0,1,0,2,5,Light,,,,,,,,,,,,,
2,0,0,1,0,0,2,5,Light,,,,,,,,,,,,,
4,0,1,0,0,0,2,7,Light,,,,,,,,,,,,,
0,4,0,1,0,2,0,7,Light,,,,,,,,,,,,,
2,1,1,0,1,2,2,9,Light - Moderate,,,,,,,,,,,,,
6,0,3,0,0,0,0,9,Light - Moderate,,,,,,,,,,,,,
4,1,0,1,0,2,2,10,Light - Moderate,,,,,,,,,,,,,
0,1,0,1,2,4,2,10,Light - Moderate,,,,,,,,,,,,,
2,2,0,1,1,0,4,10,Light - Moderate,,,,,,,,,,,,,
2,2,1,1,0,2,4,12,Light - Moderate,,,,,,,,,,,,,
4,2,0,1,1,2,2,12,Light - Moderate,,,,,,,,,,,,,
6,2,0,0,0,2,2,12,Light - Moderate,,,,,,,,,,,,,
6,0,0,1,0,4,2,13,Light - Moderate,,,,,,,,,,,,,
4,1,0,0,1,8,0,14,Light - Moderate,,,,,,,,,,,,,
4,2,1,1,2,2,4,16,Light - Moderate,,,,,,,,,,,,,
4,1,1,1,1,4,4,16,Light - Moderate,,,,,,,,,,,,,
4,2,1,1,2,2,4,16,Light - Moderate,,,,,,,,,,,,,
6,2,1,0,2,0,6,17,Moderate,,,,,,,,,,,,,
6,1,1,1,2,4,2,17,Moderate,,,,,,,,,,,,,
6,2,1,2,0,2,4,17,Moderate,,,,,,,,,,,,,
6,2,0,0,0,4,6,18,Moderate,,,,,,,,,,,,,
4,4,1,1,2,4,4,20,Moderate,,,,,,,,,,,,,
6,4,1,1,3,2,4,21,Moderate,,,,,,,,,,,,,
6,4,0,1,0,2,8,21,Moderate,,,,,,,,,,,,,
6,4,3,1,2,0,6,22,Moderate,,,,,,,,,,,,,
6,4,0,1,3,4,4,22,Moderate,,,,,,,,,,,,,
6,4,0,1,3,4,4,22,Moderate,,,,,,,,,,,,,
6,3,2,1,3,4,4,23,Moderate,,,,,,,,,,,,,
6,4,1,1,4,4,4,24,Moderate,,,,,,,,,,,,,
6,4,0,1,4,4,6,25,Moderate - Heavy,,,,,,,,,,,,,
6,4,2,1,2,2,8,25,Moderate - Heavy,,,,,,,,,,,,,
6,4,3,1,3,6,4,27,Moderate - Heavy,,,,,,,,,,,,,
6,4,0,1,4,4,8,27,Moderate - Heavy,,,,,,,,,,,,,
6,4,3,1,3,4,8,29,Moderate - Heavy,,,,,,,,,,,,,
6,4,2,1,3,6,8,30,Moderate - Heavy,,,,,,,,,,,,,
6,4,2,3,4,8,8,35,Heavy,,,,,,,,,,,,,
