"response","count","percent_responded"
"High CBD",1,0.12
"Highway Man",1,0.12
"Highwayman",1,0.12
"higwayman day time ",1,0.12
"Hindu kush",1,0.12
"Hindu Kush",1,0.12
"Holy Grail 69",1,0.12
"Humbolt Country",1,0.12
"Hurkle ",1,0.12
"hybrid - sativa dominant",1,0.12
"hybrid/indaca",1,0.12
"Hybrids",1,0.12
"I don't remember strains, but I like indica dominant",1,0.12
"I prefer indica dominent",1,0.12
"idk",1,0.12
"incense haze",1,0.12
"INDICA",1,0.12
"Inzane in the membrane",1,0.12
"jack",1,0.12
"Jack frost",1,0.12
"Jack FRost",1,0.12
"Jack Frost ",1,0.12
"Jack herer",1,0.12
"Jack herer ",1,0.12
"Jack herier ",1,0.12
"Jack Herrer",1,0.12
"Jack Pine",1,0.12
"Jack white lotus",1,0.12
"Jacksons jambo",1,0.12
"Jedi",1,0.12
"Jilly Bean",1,0.12
"Jilly bean ",1,0.12
"Jillybean",1,0.12
"Kilamanjo",1,0.12
"Killer queen",1,0.12
"Kt dawg",1,0.12
"KT Dawg",1,0.12
"Kush ",1,0.12
"las vegas buba kush",1,0.12
"Las vegas bubba kush ",1,0.12
"Lavendar Clemintine",1,0.12
"Lee roy",1,0.12
"lemon",1,0.12
"Lemon ",1,0.12
"Lemon cello",1,0.12
"lemon diesel",1,0.12
"Lemon Haze",1,0.12
"lemon jefferies",1,0.12
"lemon jeffery",1,0.12
"Lemon jeffery ",1,0.12
"Lemon Jeffery ",1,0.12
"Lemon jeffrey",1,0.12
"Lemon Jefrey",1,0.12
"Lemon kush",1,0.12
"Lemon Maringe ",1,0.12
"Lemon Merigune",1,0.12
"Lemon Meringue ",1,0.12
"Lemon Meringue (sativa)",1,0.12
"lemon skunk",1,0.12
"Lemon skunk ",1,0.12
"Lemoncello",1,0.12
"Lemonchello",1,0.12
"liberty haze",1,0.12
"Longs Peak Blue",1,0.12
"lower THC strains",1,0.12
"Mandarin Dreams",1,0.12
"Mandarin Orange Chicken",1,0.12
"Mandrin dream",1,0.12
"Mango Kush",1,0.12
"Mango Tango",1,0.12
"Mangolicious",1,0.12
"Master kush",1,0.12
"Master Kush ",1,0.12
"Master lemon kush",1,0.12
"Me clea n",1,0.12
"Melodious funk",1,0.12
"melodious funk x jack",1,0.12
"Melodious Funk x Jack",1,0.12
"Melt Down ",1,0.12
"Mickey Kush",1,0.12
"mimosa",1,0.12
"MIMOSA",1,0.12
"mimosa ",1,0.12
"MK Ultra",1,0.12
"Mob ",1,0.12
"Mob Boss",1,0.12
"moonshine haze",1,0.12
"Moonshine haze",1,0.12
"Moonshine Haze",1,0.12
"Mother of Berries ",1,0.12
"Mr Clean",1,0.12
"Mt.tom",1,0.12
"N/a",1,0.12
"N/A",1,0.12
"night nurse",1,0.12
"Night Nurse",1,0.12
"Night Nurse ",1,0.12
"no preference",1,0.12
