"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10192575549,"","","","26 - 50 mg","","","","","","",""
10192572679,"","","","","","","","","","",""
10192556821,"","","","","","","","","","",""
10192552732,"","","","","","","","","","",""
10192542738,"","","","","","","","","","",""
10192541090,"","","","51 - 100 mg","","","","","","",""
10192518925,"","","","","","","","","","",""
10192513890,"","","","","","","","","","",""
10192490652,"","","","","","","","","","",""
10192489339,"","","","201 - 500 mg","","","","5 mg or less","","6-25 mg",""
10192485669,"","","","6-25 mg","","","","","","",""
10192058859,"","","","","","","","","","",""
10192041422,"","","","","","","","","","",""
10191915115,"","","","","","","","","","",""
10191743884,"","","","6-25 mg","","","","","","",""
10191634878,"","","","5 mg or less","","","","","","",""
10191618664,"","","","201 - 500 mg","","","","","","",""
10191616641,"","","","5 mg or less","","","","","","",""
10191499790,"","","","5 mg or less","","","","","","",""
10191237902,"","","","6-25 mg","","","","","","",""
10190392230,"","","","6-25 mg","","","","","","",""
10189186912,"","","","5 mg or less","","","","","","",""
10188835145,"","","","","","","","","","",""
10188821355,"","","","5 mg or less","","","","","","",""
10188601839,"","","","6-25 mg","","","","","","",""
10188521969,"","","","","","","","","","",""
10188478016,"","","","5 mg or less","","","","","","",""
10187571266,"","","","","","","","","","",""
10187563095,"","","","201 - 500 mg","","","","","","",""
10187399811,"","","","26 - 50 mg","","","","","","",""
10187293378,"","","","51 - 100 mg","","","","","","",""
10186736515,"","","","5 mg or less","","","","","","",""
10186281148,"","","","201 - 500 mg","","","","","","",""
10186078923,"","","","101 - 200 mg","","","","","","",""
10183761350,"","","","","","","","","","",""
10182871285,"","","","","","","","","5 mg or less","6-25 mg",""
10182158425,"","","","5 mg or less","","","","","","",""
10180903610,"","","","","","","","","","",""
10180666815,"","","","","","","","","","",""
10180657381,"","","","","","","","","","",""
10180291383,"","","","","","","","","","",""
10179920502,"","","","","","","","","","",""
10179881172,"","","","6-25 mg","","","","","","",""
10179714310,"","","","6-25 mg","","","","","","",""
10179669534,"","","","51 - 100 mg","","","","","","",""
10179657355,"","","","","","","","","","",""
10179330306,"","","","","","","","","","",""
10179092808,"","","","51 - 100 mg","","","","","","1001 or more mg",""
10178952613,"","","","501 - 1000 mg","","","","","","",""
10178573973,"","","","1001 or more mg","","","","26 - 50 mg","","",""
10178504083,"","","","5 mg or less","","","","","","",""
10178427378,"","","","5 mg or less","","","","","","",""
10177087872,"","","","1001 or more mg","","","","","","",""
10176933598,"","","","201 - 500 mg","","","","","","",""
10176582087,"","","","201 - 500 mg","","","","","","",""
10176321017,"","","","5 mg or less","","","","6-25 mg","","",""
10176279610,"","","","5 mg or less","","","","","","",""
10176219723,"","","","26 - 50 mg","","","","","","",""
10175028993,"","","","201 - 500 mg","","","","","","501 - 1000 mg",""
10174392415,"","","","6-25 mg","","","","","","26 - 50 mg",""
10174294235,"","","","","","","","","","6-25 mg",""
10174274823,"","","","","","","","","","51 - 100 mg",""
10174148051,"","","","5 mg or less","","","","","","",""
10171863955,"","","","6-25 mg","","","","","","",""
10171829091,"","","","101 - 200 mg","","","","","","",""
10171770881,"","","","","","","","","","",""
10171530553,"","","","51 - 100 mg","","","","","","",""
10171522285,"","","","5 mg or less","","","","","","",""
10170370957,"","","","5 mg or less","","","","","","",""
10170264544,"","","","51 - 100 mg","","","","","","",""
10170193335,"","","","","","","","","","",""
10168795326,"","","","","","","","","","",""
10168777404,"","","","5 mg or less","","","","","","",""
10168741975,"","","","201 - 500 mg","","","","","","",""
10168703624,"","","","","","","","","","",""
10168633491,"","","","101 - 200 mg","","","","","","",""
10168596483,"","","","51 - 100 mg","","","","","","",""
10168553663,"","","","51 - 100 mg","","","","","","",""
10168000728,"","","","","","","","","","",""
10167813084,"","","","101 - 200 mg","","","","6-25 mg","","",""
10167747571,"","","","26 - 50 mg","","","","","","",""
10167716036,"","","","5 mg or less","","","","","","",""
10167632552,"","","","26 - 50 mg","","","","","","",""
10167461882,"","","","","","","","","","",""
10167417222,"","","","26 - 50 mg","","","","","","",""
10167130854,"","","","6-25 mg","","","","","","",""
10166941347,"","","","26 - 50 mg","","","","5 mg or less","","",""
10166816483,"","","","","","","","","","",""
10166791366,"","","","","","","","","","",""
10166785910,"","","","","","","","","","",""
10166774106,"","","","51 - 100 mg","","","","","","",""
10166704081,"","","","6-25 mg","","","","","","",""
10166619682,"","","","6-25 mg","","","","","","",""
10166521631,"","","","6-25 mg","","","","","","",""
10166518301,"","","","5 mg or less","","","","","","",""
10166513618,"","","","","","","","","","",""
10166425536,"","","","5 mg or less","","","","","","",""
10166095333,"","","","","","","","","","",""
10166070277,"","","","","","","","","","",""
10165633718,"","","","","","","","","","",""
10164959655,"","","","6-25 mg","","","","5 mg or less","","",""
10164915493,"","","","26 - 50 mg","","","","","","6-25 mg",""
10164798083,"","","","6-25 mg","","","","","","",""
10164556386,"","","","6-25 mg","","","","","","",""
10164134618,"","","","26 - 50 mg","","","","","","",""
10163869931,"","","","6-25 mg","","","","","","",""
10163740738,"","","","101 - 200 mg","","","","","","",""
10163300389,"","","","5 mg or less","","","","","","",""
10163295631,"","","","","","","","","","",""
10163162820,"","","","51 - 100 mg","","","","","","",""
10163112692,"","","","","","","","","","",""
10162754933,"","","","","","","","","","",""
10162070194,"","","","","","","","","","",""
10161752939,"","","","5 mg or less","","","","","","",""
10160586191,"","","","51 - 100 mg","","","","","","",""
10160136536,"","","","","","","","","","",""
10159689338,"","","","","","","","","","",""
10159485373,"","","","5 mg or less","","","","","","",""
10158941676,"","","","","","","","","","",""
10158853744,"","","","","","","","","","",""
10158359541,"","","","5 mg or less","","","","","","",""
10157861557,"","","","","","","","","","",""
10157258093,"","","","","","","","","","",""
10157075071,"","","","5 mg or less","","","","","","",""
10156749143,"","","","26 - 50 mg","","","","","","",""
10156731649,"","","","201 - 500 mg","","","","","","",""
10156543135,"","","","6-25 mg","","","","","","",""
10156521325,"","","","","","","","","","",""
10156505734,"","","","","","","","","","",""
10156488891,"","","","5 mg or less","","","","","","",""
10156427369,"","","","5 mg or less","","","","","","",""
10156164985,"","","","5 mg or less","","","","","","",""
10155895979,"","","","26 - 50 mg","","","","","","",""
10155622562,"","","","6-25 mg","","","","","","",""
10153928489,"","","","6-25 mg","","","","","","",""
10153874491,"","","","101 - 200 mg","","","","","","51 - 100 mg",""
10153797292,"","","","101 - 200 mg","","","","","","",""
10153739906,"","","","101 - 200 mg","","","","","","",""
10153580627,"","","","26 - 50 mg","","","","","","",""
10153507665,"","","","5 mg or less","","","","","","",""
10153403072,"","","","26 - 50 mg","","","","","","",""
10152987696,"","","","6-25 mg","","","","","","",""
10152754819,"","","","6-25 mg","","","","26 - 50 mg","","",""
10152080971,"","","","5 mg or less","","","","","","",""
10151593500,"","","","5 mg or less","","","","","","",""
10151592531,"","","","","","","","","","",""
10151540038,"","","","5 mg or less","","","","","","",""
10151425971,"","","","501 - 1000 mg","","","","","","",""
10150959951,"","","","","","","","","","",""
10149690562,"","","","","","","","","","",""
10149452852,"","","","5 mg or less","","","","","","",""
10147353916,"","","","6-25 mg","","","","","","",""
10147285271,"","","","","","","","","","",""
10147209030,"","","","","","","","","","",""
10147185169,"","","","","","","","","","",""
10147173145,"","","","","","","","","","",""
10147172908,"","","","201 - 500 mg","","","","","","101 - 200 mg",""
10146296373,"","","","5 mg or less","","","","","","",""
10146235500,"","","","","","","","","","",""
10146160169,"","","","5 mg or less","","","","","","",""
10146146224,"","","","","","","","","","",""
10146124602,"","","","","","","","","","",""
10145906026,"","","","","","","","","","",""
10145856040,"","","","","","","","","","",""
10145589686,"","","","51 - 100 mg","","","","","","",""
10145264898,"","","","","","","","","","",""
10145264541,"","","","","","","","","","",""
10145094441,"","","","51 - 100 mg","","","","","","",""
10144788354,"","","","5 mg or less","","","","","","",""
10144768270,"","","","","","","","","","",""
10144541871,"","","","26 - 50 mg","","","","51 - 100 mg","","",""
10144534987,"","","","201 - 500 mg","","","","","","",""
10144486255,"","","","101 - 200 mg","","","","","","",""
10143929046,"","","","6-25 mg","","","","","","",""
10143906427,"","","","5 mg or less","","","","","","",""
10143866911,"","","","501 - 1000 mg","","","","","","51 - 100 mg",""
10143858890,"","","","","","","","","","",""
10143785163,"","","","51 - 100 mg","","","","","","",""
10143691454,"","","","6-25 mg","","","","","","",""
10143614917,"","","","","","","","","","",""
10143284849,"","","","","","","","","","",""
10143215809,"","","","5 mg or less","","","","","","",""
10143136866,"","","","5 mg or less","","","","","","",""
10143109892,"","","","","","","","","","",""
10143077190,"","","","","","","","","","",""
10143056609,"","","","","","","","","","",""
10143029353,"","","","5 mg or less","","","","","","",""
10142993231,"","","","","","","","","","",""
10142966617,"","","","201 - 500 mg","","","","","","",""
10142868860,"","","","","","","","","","",""
10142861804,"","","","6-25 mg","","","","","","",""
10142795363,"","","","","","","","","","",""
10142730928,"","","","26 - 50 mg","","","","","","",""
10142729007,"","","","","","","","","","",""
10142712564,"","","","5 mg or less","","","","","","",""
10142697202,"","","","6-25 mg","","","","","","",""
10142697139,"","","","51 - 100 mg","","","","","","",""
10142680604,"","","","1001 or more mg","","","","","","",""
10142645727,"","","","501 - 1000 mg","","","","","","",""
10142625629,"","","","5 mg or less","","","","","","",""
10142603260,"","","","5 mg or less","","","","","","",""
10142601611,"","","","","","","","","","201 - 500 mg",""
10142600591,"","","","5 mg or less","","","","","","",""
10142598571,"","","","","","","","","","",""
10142597211,"","","","","","","","","","6-25 mg",""
10142594370,"","","","","","","","","","",""
10142594072,"","","","","","","","","","",""
10142571108,"","","","","","","","","","",""
10142453509,"","","","","","","","","","",""
10142214540,"","","","","","","","","","",""
10141267339,"","","","","","","","","","",""
10140183753,"","","","","","","","","","",""
10139132658,"","","","201 - 500 mg","","","","","","51 - 100 mg",""
10138932667,"","","","","","","","","","",""
10138931674,"","","","5 mg or less","","","","","","",""
10138829296,"","","","51 - 100 mg","","","","","","",""
10138814442,"","","","5 mg or less","","","","","","",""
10138761669,"","","","","","","","","","",""
10138747058,"","","","5 mg or less","","","","","","",""
10138701567,"","","","1001 or more mg","","","","","","",""
10138444251,"","","","51 - 100 mg","","","","","","",""
10138269829,"","","","5 mg or less","","","","","","",""
10138213019,"","","","","","","","","","",""
10138206762,"","","","","","","","","","",""
10138105716,"","","","6-25 mg","","","","","","",""
10138000107,"","","","6-25 mg","","","","","","",""
10137991954,"","","","26 - 50 mg","","","","","","5 mg or less",""
10137952529,"","","","5 mg or less","","","","","","",""
10137921188,"","","","","","","","26 - 50 mg","","",""
10137880777,"","","","","","","","","","",""
