"response","count","percent_responded"
"Girl Scout Cookies (original)",1,0.08
"Glorilla Glue",1,0.08
"Goat 12",1,0.08
"GOD FATHER OG",1,0.08
"Gold or diesel OG",1,0.08
"Golden Glue",1,0.08
"Golden triangle ",1,0.08
"Good Medicine",1,0.08
"Gorila Glue",1,0.08
"Gorilla 🦍 glue",1,0.08
"gorilla glue",1,0.08
"Gorilla glue ",1,0.08
"Gorilla Glue - Sativa",1,0.08
"Gorilla Glue #4 AKA GG #4",1,0.08
"gorilla glue 4",1,0.08
"Grand dad cush",1,0.08
"Grand Daddy Plum",1,0.08
"Grand Daddy Purp",1,0.08
"Grand Daddy Purple",1,0.08
"Grand Daddy Purple (Indica)",1,0.08
"Granddaddy Purple ",1,0.08
"Granddaddy Purple Gdp Indica. ",1,0.08
"Grape",1,0.08
"Grape ape ",1,0.08
"grape god",1,0.08
"Grape god ",1,0.08
"Grape God ",1,0.08
"Grape God - Bask",1,0.08
"Grape Stomper",1,0.08
"grapefruit",1,0.08
"GrapeGod",1,0.08
"Grease monkey",1,0.08
"Grease Monkey",1,0.08
"Grease Monkey ",1,0.08
"grease monkey #9",1,0.08
"Grease Monkey OG",1,0.08
"Green",1,0.08
"Green crack ",1,0.08
"Green Crack ",1,0.08
"green revolution tinctures 5:1 CBD:THC (the indica and stativa tinctures are great to mix with this too)",1,0.08
"Green Ribbon",1,0.08
"Gummies ",1,0.08
"Harle-Tsu",1,0.08
"Harle Tsu",1,0.08
"harlequin ",1,0.08
"Harliquien",1,0.08
"Harmony rose",1,0.08
"Hashplant",1,0.08
"Have never purchased by strain",1,0.08
"Haze",1,0.08
"Herijuana ",1,0.08
"high CBD",1,0.08
"High CBD",1,0.08
"High CBD, low THC",1,0.08
"high thca hybrids",1,0.08
"highwayman",1,0.08
"Hindu Kush",1,0.08
"Holy Grial Kush",1,0.08
"Holy Moly ",1,0.08
"Hope's cookies",1,0.08
"Hshsj",1,0.08
"hybrid/sativa",1,0.08
"Hybrids that favor indica",1,0.08
"HYDRO",1,0.08
"I",1,0.08
"I'm strain-agnostic - effects/terpenes are more important",1,0.08
"I care much more",1,0.08
"I do not know any strain names",1,0.08
"I don't have ",1,0.08
"I don't have a preference",1,0.08
"I don't know ",1,0.08
"I don’t know",1,0.08
"I dont have a favorite",1,0.08
"i dont know",1,0.08
"I have not been provided an option to even choose",1,0.08
"I haven't found my #1 favorite yet",1,0.08
"I never pay attention to names only content",1,0.08
"I take mostly CBD extracts",1,0.08
"I use CBD OIL",1,0.08
"I""m new",1,0.08
"Idk",1,0.08
"Ilera Dream",1,0.08
"Indica-stain unknown",1,0.08
"Indica CBD",1,0.08
"Indica Purple Urkel",1,0.08
"INDICA SATIVA HYBRIDS",1,0.08
"Indica/Indus (Ganja)",1,0.08
"indigo",1,0.08
"Indigo ",1,0.08
"Ingrid",1,0.08
"Inica",1,0.08
"Irish grown, strain unknown",1,0.08
"Jack any of them",1,0.08
"Jack Cookies",1,0.08
"Jack Frost",1,0.08
"Jack frost ",1,0.08
"Jack Frost ",1,0.08
"Jack H",1,0.08
"Jack harer ",1,0.08
"Jack hearer",1,0.08
"Jack Herer ",1,0.08
"Jack Herrer",1,0.08
"JACK PINE",1,0.08
"Jellybean",1,0.08
"Killer Queen",1,0.08
"Kosher kush",1,0.08
"KT Dawg",1,0.08
"Kush ",1,0.08
"kushberry",1,0.08
"L'Orange",1,0.08
"Las Vegas Buba Kush",1,0.08
"las vegas bubba kush",1,0.08
"Las Vegas bubba kush",1,0.08
"Lee Roy",1,0.08
"lemon",1,0.08
"Lemon alien",1,0.08
"Lemon diesel ",1,0.08
"Lemon G",1,0.08
"Lemon Haze",1,0.08
"Lemon Haze ",1,0.08
"Lemon ice",1,0.08
"Lemon Jefferies ",1,0.08
"lemon jeffery",1,0.08
"Lemon Jeffery ",1,0.08
"Lemon Jeffery at Bask",1,0.08
"lemon jeffrey",1,0.08
"Lemon Jeffries",1,0.08
"Lemon kush",1,0.08
"lemon merange",1,0.08
"lemon merigne",1,0.08
