"response","count","percent_responded"
"Doesnt matter",1,0.09
"don'[t know",1,0.09
"don't have",1,0.09
"don't know ",1,0.09
"Don’t have one yet",1,0.09
"Don’t know",1,0.09
"Don’t know ",1,0.09
"dont know",1,0.09
"Double Black Domina",1,0.09
"Double Black Domina for sleep ",1,0.09
"Double stuff",1,0.09
"Double stuffed",1,0.09
"Dream queen",1,0.09
"Dumpster",1,0.09
"Durban ?",1,0.09
"Durban OG",1,0.09
"Durban Poisin",1,0.09
"durban poison",1,0.09
"Durbin poison",1,0.09
"Dutchberry",1,0.09
"Ectocooler ",1,0.09
"El Fuego",1,0.09
"Fade",1,0.09
"Fade ",1,0.09
"Feel Comfort Tincture",1,0.09
"Fire",1,0.09
"Flo og",1,0.09
"Flo OG",1,0.09
"Flow",1,0.09
"For a favorite ",1,0.09
"Forbidden Fruit",1,0.09
"French toast",1,0.09
"French Toast",1,0.09
"French Toast ",1,0.09
"Fruit loop ",1,0.09
"Fruit punch",1,0.09
"Fruity pebbles kush",1,0.09
"Full Metal Jacket",1,0.09
"G13",1,0.09
"G2",1,0.09
"G88 Hashplant",1,0.09
"Gassy ogs",1,0.09
"GDP",1,0.09
"gdp or ktdawg",1,0.09
"Gelato #33",1,0.09
"Gellato",1,0.09
"Gg",1,0.09
"gg #4",1,0.09
"GG 4",1,0.09
"Girl Scout",1,0.09
"girl scout cookie",1,0.09
"Girl Scout cookie",1,0.09
"Girl Scout cookie ",1,0.09
"girl scout cookies",1,0.09
"Girl scout cookies",1,0.09
"Girl scout Cookies ",1,0.09
"Girls Scout Cookie",1,0.09
"Girls Scout Cookies",1,0.09
"God green crack",1,0.09
"Gods Gift",1,0.09
"Goji og",1,0.09
"Golden Goat",1,0.09
"Gorilla glue ",1,0.09
"Gorrila glue 4",1,0.09
"Gorrilla Glue",1,0.09
"Grand Daddy Purp",1,0.09
"Grand Daddy Purp ",1,0.09
"Grape",1,0.09
"Grape ape",1,0.09
"Grape Ape",1,0.09
"Grape ape /// sleep aide",1,0.09
"Grape cod",1,0.09
"GRAPEFRUIT",1,0.09
"grapefruit kush",1,0.09
"Grapefruit x Chem D",1,0.09
"Grease Monkey",1,0.09
"Green Cush ",1,0.09
"Green Goddess",1,0.09
"gsc",1,0.09
"Guava d",1,0.09
"Gummy Bear",1,0.09
"Hard Candy",1,0.09
"harlequin",1,0.09
"Harliquin",1,0.09
"Hash",1,0.09
"Hash Plant",1,0.09
"hawaii spice",1,0.09
"Headband ",1,0.09
"Herijuana",1,0.09
"hi CBD strains",1,0.09
"high bred",1,0.09
"high CBD strains",1,0.09
"High CBD strains ",1,0.09
"High Times (Tahoe Kush hybrid)",1,0.09
"Holy grail",1,0.09
"Holy Grail",1,0.09
"Homegrown kush variety",1,0.09
"Honey banana ",1,0.09
"Honey Bananas ",1,0.09
"House blend",1,0.09
"Huckleberry",1,0.09
"huckleberry kush",1,0.09
"Huckleberry Kush",1,0.09
"Hybrid ",1,0.09
"Hybrids ",1,0.09
"I can’t name 3 sorry",1,0.09
"I don't have a preference",1,0.09
"I have not been provided an option to even choose",1,0.09
"Iced tea",1,0.09
"idk",1,0.09
"Indica Recon",1,0.09
"Indict Don Hybrids",1,0.09
"is unresearched",1,0.09
"isk",1,0.09
"Jack",1,0.09
"Jack blends",1,0.09
"Jack frost ",1,0.09
"Jack Harare ",1,0.09
"Jack here",1,0.09
"Jack herer",1,0.09
"Jack Herer ",1,0.09
"Jack Herrar ",1,0.09
"Jack herrer",1,0.09
"Jack herrera",1,0.09
"Jack pine",1,0.09
"Jack Pine",1,0.09
"Jackhare ",1,0.09
"jet fuel",1,0.09
"Jilly Bean",1,0.09
"jilly bean ",1,0.09
"JillyBean",1,0.09
"Joystick",1,0.09
"Khalifa kush",1,0.09
"Kill queen",1,0.09
"Killer queen",1,0.09
"Kind Love - Pure Love (1:1 CBD:THC)",1,0.09
"Know",1,0.09
"Kosher kush",1,0.09
"Kosher Kush",1,0.09
"Kosher Tangie ",1,0.09
"KT Dawg",1,0.09
"Kt Stardawg",1,0.09
"kush",1,0.09
"KUSH",1,0.09
"Kush ",1,0.09
"Kush 4",1,0.09
"KUSH any type",1,0.09
"kush dawg",1,0.09
"Kushberry",1,0.09
"LA Chocolate",1,0.09
"Lambs Bread",1,0.09
"Las Vegas Bubba Kush",1,0.09
"Last Jedi",1,0.09
"lavendar",1,0.09
"Lavendar/?",1,0.09
"Lavender ",1,0.09
"Lemmon Jeffery",1,0.09
"Lemon Alien",1,0.09
"Lemon cello ",1,0.09
"Lemon haze",1,0.09
"lemon jeffery",1,0.09
"Lemon jeffery",1,0.09
"lemon jeffrey",1,0.09
"Lemon jeffrey",1,0.09
"Lemon Jeffrey",1,0.09
"Lemon Jeffrey ",1,0.09
"Lemon Lime Punch",1,0.09
"lemon merangue",1,0.09
"Lemon meringue",1,0.09
"Lemon Meringue",1,0.09
"Lemon Meringue ",1,0.09
"Lemon Meringue Pie",1,0.09
"Lemon morangue ",1,0.09
"Lemon Skunk ",1,0.09
"lemonade sour diesel",1,0.09
"Lemonskunk(DNA Genetics)",1,0.09
"Light saber ",1,0.09
"Lime Skunk",1,0.09
"Local sativa ",1,0.09
"Longs Peak Blue",1,0.09
"Longs peak blue ",1,0.09
"lost coast og",1,0.09
"Lotus",1,0.09
"lower THC strains",1,0.09
"Lucky Charm",1,0.09
"Lucky charms",1,0.09
"Lucky Charms",1,0.09
"Mag mile ",1,0.09
"mandarin cookies",1,0.09
"Mandarin Dreams Stormtrooper #2",1,0.09
"Mandarin Sunset",1,0.09
"Mango kush ",1,0.09
"master kush",1,0.09
"Maui Waui",1,0.09
"Medicine Man",1,0.09
"Melodious Funk x Jack Herer",1,0.09
"Meltdown",1,0.09
"Meltdown ",1,0.09
"Mendo Breath",1,0.09
"Mix",1,0.09
"mixed",1,0.09
"Mixture of flower",1,0.09
"MJ-23",1,0.09
"MOB",1,0.09
"Mobsta (a local GSC x Dream Cookie Cake hybrid)",1,0.09
"Monster Kush",1,0.09
"Moon man",1,0.09
"Moonrise ",1,0.09
"Moonshine Haxe",1,0.09
"Moonshine haze",1,0.09
"most hybrids",1,0.09
"Most Hybrids",1,0.09
"Mother of berries",1,0.09
"Mother of Berries",1,0.09
"Mother of berries cbd ",1,0.09
"Motorbreath",1,0.09
