"q48","What are your general thoughts regarding the legalization of cannabis?","n =  637"
"Change the nomenclature, pot industry must rebrand if it ever wants to be truly legitimate. Keep recreational/medical separate units. I hope to god mj does not go down some big pharma path, but we must do something about the culture of weed (the names, the stereotypes) not overshadowing the medicinal benefits  that has helped countless people. I don't want to buy my cancer ridden grandma something called thunderfuck weed, can we call it like level 3, or chemo-easer or something not so blatant?! Also: DOJ-stay the FUCK out of this and go after the opioid crisis. I'm tired of seeing people OD on the street every single day. I'm tired of the needles, the nodding off in the middle of traffic, the sight of small children sitting alone in a car for hours while their parents are utter zombies. FIX THAT SHIT.  BEFORE YOU GO AFTER MOTHER NATURE.","1","0.16"
"complete legalization in the usa, age restrictions and penalties for overuse","1","0.16"
"Complete legalization!","1","0.16"
"completely supportive. it's about time. ","1","0.16"
"Cool","1","0.16"
"Corruption from government and pharmaceutical companies is the biggest impediment to legalization and public perception regarding its use.","1","0.16"
"Couldn't be happier. I don't understand why it has taken as long as it has. We still have a long road ahead of us but it's better late than never!","1","0.16"
"Decriminalization not legalisation","1","0.16"
"definitely in favor of legalization and decriminalization including retro-actively for those with cannabis possession felony charges","1","0.16"
"Definitely tax the rich","1","0.16"
"Do it","1","0.16"
"do it already","1","0.16"
"Do it faster and let more people start businesses","1","0.16"
"Do it now","1","0.16"
"Do it NOW!!! Very beneficiary medical wise. SAVES LIVES  ","1","0.16"
"Do it!!","1","0.16"
"Do It!!!!","1","0.16"
"Do it.","1","0.16"
"Do it. But don't let the Feds, or wall street, have anything to do with it","1","0.16"
"Do it. Cannabis is safer than alcohol, opioids and most otc or prescription drugs. Start researching this powerful medicine. People should be able to learn and experiment with varieties/methods and stock up when they find a particular batch that works. Obama Kush was the best medicine for my fibro and I wish I had bought a pound. I didn't realize it until I was too far away to get more. 2 different brands of Blue Dream from CO - 1 works, one doesn't. One has higher cbd, but neither has terpene test. Let's figure out why it works. Mn MM laws are too strict and varieties very limited. Whole plant medicine is not available. Have to spend a lot of $ to certify to see if one of the few products works.","1","0.16"
"Don’t think it should be legalized other than for medical","1","0.16"
"👍","1","0.16"
"End Prohibition, Expunge all Prior Victims of Nixon's Unconstitutional War on Drugs, and Let My People Grow!","1","0.16"
"Everyone should have the right to treat their conditions ","1","0.16"
"Excellent idea...can't believe it has taken so long.  I'm 53  And this should have been done by the time I was 18.","1","0.16"
"Excellent, about time!!!","1","0.16"
"Excited that it finally happened ","1","0.16"
"Excited, but I hope the education about Cannabis is still prioritized.","1","0.16"
"Fantastic ","1","0.16"
"Federal Legalization ","1","0.16"
"finally","1","0.16"
"Finally","1","0.16"
"Finally!","1","0.16"
"Finally! ","1","0.16"
"FINALLY!! I can't wait until it's federally legal. It's ridiculous to forbid a harmless plant with so many benefits. ","1","0.16"
"finally, now opiate use should hopefully decrease","1","0.16"
"For it","1","0.16"
"For me I'm a cannabis PT so I'm taking less medications and my lab work shows that my Kidney & Liver functions are in normal ranges after several years of going to Nephrologist and trying and changing meds to get my functions back under control. Give me cannabis take away the pills and the Nephrologist..my results are normal, I'm feeling healthier. Imagine that.. I feel also crime may be down, dealers maybe off the street less synthetic drugs , less deaths less ER visits less buses being used for senseless deaths or near deaths. I work in and Emergency Deptment we see what these other drugs do. Use to help get us out of the deficit,more and more people are smoking than drinking.  People smoke to much they get sleepy not fight, get mouthy create a seen.  Sell & tax it use the monies for the deficit, help the homeless, the sick, use for research Impeach Trump. ","1","0.16"
"Free the plant and stop government oppression against those of us who consume it.  Cannabis is safer than a tomato and should be regulated accordingly.","1","0.16"
"free the weed","1","0.16"
"Free the Weed!!!","1","0.16"
"Freedom ","1","0.16"
"Fuck yeah","1","0.16"
"Full legalization; regulation.  Give the tax funds to schools","1","0.16"
"Fully support it, should have been done years ago, many innocent people jailed for no reason","1","0.16"
"Generally, it’s a good thing as it will de-stigmatize it and make researching it easier for the researchers.","1","0.16"
"Get it over with ","1","0.16"
"Get on with it already","1","0.16"
"get the stores up and running...more seeds to grow AT HOME","1","0.16"
"good","1","0.16"
"Good ","1","0.16"
"Good for adults","1","0.16"
"Good idea. All around good idea","1","0.16"
"Gov't shouldn't tell people what they can and cannot ingest.","1","0.16"
"great","1","0.16"
"great day in the state of Massachusetts","1","0.16"
"Great for recreational smokers not so much for patients ","1","0.16"
"Great idea","1","0.16"
"Greatest thing since the freedom of the slaves","1","0.16"
"Grow your own","1","0.16"
"Happy","1","0.16"
"happy ","1","0.16"
"Happy it’s legal and can get it from a safe source","1","0.16"
"Happy that it is finally recognized for medical purposes","1","0.16"
"Have mixed emotions at this time","1","0.16"
"Hope it will be legalized nationally ","1","0.16"
"hoping for well done double-blind placebo-controlled studies without influential money/companies funding them","1","0.16"
"Hurry up already!!","1","0.16"
"Hurry up!!!!","1","0.16"
"I'd rather it stay medical. The stigma is bad enough.","1","0.16"
"I'm all for it ","1","0.16"
"I'm all for it. I'm heavily invested in both the Canadian and US sector. I preach to everyone around my about it. Legalization should have happened decades ago and the fact that it took so long is ridiculous.","1","0.16"
"I'm CONFUSED.  here in ME, I thought it was good, but Integrat8 said it was bad.  I do need to be able to get a range of medical strains.  But, it would be nice to be able to cross state lines.","1","0.16"
"I'm distressed that is has taken so long to legalize because I have been on prescriptions for decades and am concerned about what they have done to my health.","1","0.16"
"I'm fine with it as long as the Maine Medical Program stays in place as it is -- meaning the caregivers are able to keep doing what they are doing. I have more confidence & trust in local caregivers whom I know personally than I do any retail establishment. Everyone should have access to good quality medicine. ","1","0.16"
"I'm for it and wish it was legal here. I think it will be legal in all states soon.  So far I have been able to find it here.  I'd LOVE to grow my own, and I would if it was legal here.","1","0.16"
"I'm happy that somehow is legal in my state, but the laws are still behind especially in the case of people that is working, it also need to cover more deseases  and needs to be more protection for parents of children that need the product.","1","0.16"
"I've really suffered after moving from a place where I could legally access cannabis with a medical card to a place where it is criminalized and inaccessible. Additionally I no longer qualify for medicaid in this new state. Needless to say, my access to medical care and treatment has gone down considerably. Not only am I unable to get mental health care, I'm unable to properly self-medicate without legal dispensaries and strain specificity.    Criminalization of is a structural determinant of health. Given all the intersecting issues (mass incarceration, parental stress/child maltreatment, opioid epidemic) related to cannabis legalization, I think it's absurd that research is being limited on something with such incredible capacity to reduce health disparities. Legalizing cannabis would help individuals, families, communities, businesses, and health care systems. It's time for cannabis to be formally integrated into comprehensive, whole person health care.","1","0.16"
"I've supported legalization since the 70s. It's long past due.","1","0.16"
"I agree with the legalization of cannabis. I feel it is something that wont kill you such as things like alcohol and tobacco. It will help support schools, and communities off of the taxes not to mention the jobs that are created from it.","1","0.16"
"I am 100% in support of legalization. I smoke cannabis religiously and do not see my life any better without it.","1","0.16"
"I am a supporter","1","0.16"
"I am all for it","1","0.16"
"i am all for it. alternatives to big pharma are a good thing. i am so glad i lived to see the day that big pharmaceuticals is not in charge anymore!","1","0.16"
"I am behind decriminalizing natural remedies and methods to enhance the human experience. I am most concerned about big business using cannabis to achieve enormous personal gain without being involved in the community. In other words, I'd like us to maintain cannabis' sovereignty from the ways of the pharmaceutical giants and keep it in the public domain.","1","0.16"
"I am extremely happy and excited by this notion and very hopeful that it eventually becomes accessible nationwide and even globally.","1","0.16"
"I am glad that it’s getting shown in a new light, that it truly has medical and therapeutic benefits and that it’s not some dangerous gateway drug that’s as bad as the truly dangerous drugs out there. I am happy I can get my cannabis in a safe secure dispensary instead of needing to get it off the streets.  At the same time, I see it as something that can be enjoyed like coffee, and hopefully it is seen like that sometime in the future.","1","0.16"
"I am in agreement with legalization but from someone suffering from a chronic illness... I don't want it to be taking not seriously are considered more of a joke since it is now recreational. I do feel it should be available to anyone that wants it or needs it","1","0.16"
"I am looking forward to it","1","0.16"
"I am overjoyed about it, most definitely. It helps with some of the previous anxiety I'd feel while smoking. :)  But now, even though I live in a state where it's legal, I still had to take an employment drug test. This contradiction is very high stress and unnecessary and is the only thing that stops me from being an entirely 'out' cannabis user. ","1","0.16"
"I am pleased that its legal at the state level but It needs to be legal federally, just like alcohol and tobacco.  I am concerned about losing my job if tested randomly despite not being under the influence while at work. ","1","0.16"
"I am pro careful and methodical legalization.","1","0.16"
"I am prolegalization and for %100 decriminalization. ","1","0.16"
"I am totally in favor!","1","0.16"
"I am very happy that it has finally become legal. My hope is that all persons selling it take the time to be educated. Even doctors tell me they don't know much about it- but do say they approve of it as a medicine.","1","0.16"
"I am very pleased to see recreational marijuana legalized in my lifetime.","1","0.16"
"I am worried about people driving stoned. ","1","0.16"
"I believe it is long overdue","1","0.16"
"I believe it should be legalized at a federal level, for personal use and cultivation. With similar regulations as alcohol.","1","0.16"
"I believe it should be legalized every where.","1","0.16"
"I believe it should be legalized. It helps alot of people that suffer from pain, anxiety,ptsd, parkinsons. Its unreal how it helps","1","0.16"
"I believe it should happen yesterday","1","0.16"
"I believe it should happen.","1","0.16"
"I believe its great that cannabis is more accessible once it is legalized. However, I wish there were more opportunities for individuals without money or political power to establish businesses and benefit from the legal market","1","0.16"
"I believe that everyone 21 and older should have access to cannabis as long as it does not deter patients from having access to their medicine. ","1","0.16"
"I believe that the legalization of cannabis is great for economic growth and the overall health and stature of humans and animals alike. Cannabis can replace thousands of harmful products, foods, textiles and medicines and could really start the frontier of the next age. I believe if it was legalized completely all around the world that we would see a dramatic decrease in crimes and just overall problems in general. Possibly making the world a happier place to inhabit.","1","0.16"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.16"
"I believe the process is fueled by good intentions, that cannabis has a huge medical potential, and that the cannabis ""revolution"", if you will, is only just beginning. The fact that it's illegal in the first place is a huge blemish on America (as it's original illegalization/spread of the ""reefer madness"" stigma were both rooted in racism against Mexicans) and proof that our country has been corrupt for at least a century. Cannabis is awesome, America kind of sucks.","1","0.16"
"I believe whole heartedly that Cannabis should be 100% legal and the fact that it is a Schedule 1 drug is the most ridiculous thing in the world. ","1","0.16"
"I can't wait to freely purchase cannabis edibles for my anxiety. A friend of mine is currently making the eatables for me.","1","0.16"
"I can't wait!","1","0.16"
"I disagree with many of the the stances the government takes on social issues, the war on drugs is no exception.","1","0.16"
"I don't like the Rec side of it in CA. ","1","0.16"
"I don't think cannabis is very significant to people, except to 1) people who need it for health reasons, and to 2) the bigots who want to put people in prison for it. Everyone in the middle seems to equate it either with beer or crack.","1","0.16"
"I don’t agree with it.  I don’t think recreational should be legal.  Afraid it will be misused. I don’t want to get high.","1","0.16"
"I don’t see why it’s not already legal. There are significantly more benefits to using marijuana over many commonly over prescribed medications in the US.","1","0.16"
"I feel it should be federally legal across the country","1","0.16"
"I feel it should be legalized world wide","1","0.16"
"I feel like its a fine idea. Its safer than alcohol and provides tons of benefits","1","0.16"
"I feel that it's more than about time!","1","0.16"
"I fell is less dangerous than alcohol","1","0.16"
"I fully support full legalization. In Massachusetts, however, I have been disappointed with the stigma still attached despite being legal. This shows up in the form of barring cannabis users from using anywhere outside a private home and from growing “within view of others.” Legalization is great, the implementation isn’t always","1","0.16"
"I fully support it and believe it should be legalized and regulated nation wide. ","1","0.16"
"I fully support responsible use of cannabis for both medical and recreational purposes.","1","0.16"
"I have been saying to legalize, tax and regulate the industry for over two decades...I am just glad it is finally headed in the right direction","1","0.16"
"I have mixed feeling about the legalization of cannabis. I think it should be used for medicinal purposes and that people who use it recreationally should use it responsibly. I worry that legalization will turn into Big Weed (like Big Pharma) and that access/costs will become problematic once that happens. If/when it becomes legal on that level, I hope that people with marijuana charges will be helped.","1","0.16"
"I hope it becomes federally legalized and regulated ","1","0.16"
"I HOPE IT DOES NOT IMPACT THE MEDICAL COMMUNITY WITH OUR NEEDS. ","1","0.16"
"I hope it doesn't push the medical program out when the state sees how much money they can make on rec.","1","0.16"
"I hope it drives down prices for medicinal users","1","0.16"
"I hope the world mellows out and behaves with selflessness","1","0.16"
"i like it but feel like there's more law's","1","0.16"
"I live in CT where not legal I buy underground","1","0.16"
"I love it, long time coming!","1","0.16"
"I love that the general public will finally have access to this sacred plant. Biggest issue to me is where we consume or more to the point can't consume. We need social consumption lounges!","1","0.16"
"I personally think cannabis is a lot safer than alcohol, I am all for the legalization of cannabis. ","1","0.16"
"I refuse to take meds for many serious ailments and pain. Cannabis has given me my life back and made a lot of mental anguish subside and be tolerable!","1","0.16"
"I support both the legalization and the proper, fair taxation of it.","1","0.16"
"I support it ","1","0.16"
"I support legalization ","1","0.16"
"I think all drugs should be legal, all people should be legal and all love should be legal ","1","0.16"
"I think great.","1","0.16"
"I think it's a civil right","1","0.16"
"I think it's a great idea, and a great way for our struggling economy to rebuild by taxing use and putting it back into our infrastructure, education, benefits for disadvantaged folks. I'm all for it! Cannabis has so many beneficial uses, and I find it disheartening that it's categorized in the same drug class as heroine and other opioids.","1","0.16"
"I think it's a great movement ","1","0.16"
"I think it's about time to stop the stigma of this obviously wonderful medical plant. ","1","0.16"
"I think it's absolutely imperative that cannabis be legalized across the entire country!  So many people are suffering from the dangerous side effects of prescription drugs and cannabis could effectively be the much healthier option of the answer they're looking for.","1","0.16"
"I think it's fine under a real doctor's care, where you're monitored. But how many are? I certainly don't agree with it being legalized for recreation. People who smoke know where or how to get it. Why have ""New year's Eve"" 24/7, 365. You know what I mean: on NYE EVERYONE thinks he's an expert drinker. As a recovering alcoholic I call it ""Amateur night."" Same for pot. People who'd never tried it might stampede and how many will be able to handle ""high?""","1","0.16"
"I think it's great!","1","0.16"
"I think it's important that it's done in a respectful and thoughtful way instead of becoming the next big capitalist machine, given the history of the plant I think that would be pretty upsetting.  And  I hope that legalizing cannabis will lead to people who were arrested because of the war on drugs being released from prison??","1","0.16"
"I think it's long overdue ","1","0.16"
"I think it's long overdue.","1","0.16"
"I think it's wonderful. I hope that it enables this amazing therapeutic plant to reach more number of people. I hope that it can help to dispel the false information that our government has perpetuated surrounding cannabis. I hope that it encourages evidence based decisions on the subject.","1","0.16"
"I think it is a Godsend to those who suffer and find out that it actually helps. It is a good thing. Hope the stigma from the past melts away. It's just another drug like any other in my opinion. I'm most for medical use. But recreational use is ok I guess. Make it legal. Have laws/legal age/id, etc. and enforce it like any other legal drug.","1","0.16"
"I think it is a good thing, it is a very helpful medicine in many different ways for so many people. ","1","0.16"
"I think it is an amazing thing. To be able to have something that let's me get out of my house and to be able to function without being on meds.","1","0.16"
"I think it is criminal that there are still states under prohibition.  I have relatives who suffer seizures.  They are contemplating moving to a legal state.  Every American citizen should have access.","1","0.16"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.16"
"I think it is important that it is legalized. Too many people have been arrested over marijuana.","1","0.16"
"I think it is long overdue.  It has proven to have medicinal properties.  I believe the only reason cannabis has been illegal for so long is because of the control big pharma has over this country.","1","0.16"
"I think it should be ","1","0.16"
"I think it should be just for medical","1","0.16"
"I think it should be legal across the board federally ","1","0.16"
"I think it should be legal all across the board ","1","0.16"
"I think it should be legal and used for all kinds of funding.","1","0.16"
"I think it should be legal everywhere ","1","0.16"
"I think it should be legal federally.","1","0.16"
"I think it should be legal in all states.  ","1","0.16"
"I think it should be legal worldwide","1","0.16"
"I think it should be legalized so the products can be regulated. Recreational users pretending to be medical patients have shifted the products available towards only high THC products and those aren't always the best products for medical patients. I rarely see products with known cannabinoids and terpenes that have been shown to reduce inflammation and nerve pain. I don't mind if they also use cannabis, but I would like to have more medicinal strains available and more consistency in the products. The wait times and process are also ridiculously long because of the additional people. If we are going to say it is a medicine it needs to be treated as one, but we can also acknowledge that some strains are more for recreational use and others are for medicinal use.   ","1","0.16"
"I think it should be recreationally legal and available to those over the age of 18. And medically available with doctor advisement to those under 18. I firmly believe in cannabis’ medicinal benefits. ","1","0.16"
"I think it should be recreationally legal on a federal level and taxed to help the country’s debt. It needs to be cheaper and accessible for ALL especially in an opioid epidemic ","1","0.16"
"I think it will solve the economic crisis we seem to be falling back into. ","1","0.16"
"I think it’s a great idea ","1","0.16"
"I think it’s amazing! I feel like it’s a drug that has many more positives than negatives. ","1","0.16"
"I think it’s awesome! It’s about time it has so many health benefits everyone could benefit by using it. ","1","0.16"
"I think it’s fantastic it allows me to not put pulls in my body any more","1","0.16"
"I think it’s great ","1","0.16"
"I think most adults are of sound enough mind to make an informed decision for themselves without the misguided information from big pharmaceutical companies and doctors that are totally ignorant to the effectiveness and benefits proven over time from various trustworthy sources. ","1","0.16"
"I think people have the right to try, but I also believe regulation allows safe production of cannabis products. Regulation should help stop the market both legitimate and black; from being saturated, it needs quality control and safe tasting prior to distribution ","1","0.16"
"I think ppl will absue it","1","0.16"
"I think that it is crazy that alcohol is legal over cannabis - LEGALIZE LEGALIZE LEGALIZE ","1","0.16"
"I think that it should be monitored and used medically. I am not to excited about it being recreational","1","0.16"
"I think the age should be 25, and there should be training on how to use cannabis intoxication to the advantage for better living and to avoid the pitfalls","1","0.16"
"I think the U.S. Gov needs to amend weed and make it legal for everyone to use in every state. I should be able to travel with my medicine & use my medicine no matter which state i visit.","1","0.16"
"I think we're still behind the times. I'm moving to New Jersey next month, where I'll have to see a local doctor for at least one year before I can even get attempt to get registered for medical marijuana use. When I stop smoking, I get sick to the point of vomiting. And now I HAVE to stop smoking, or break the law. It's painful and unnecessary.","1","0.16"
"I think we need to compare all other states and find out what the changes have been and if its for the better all around, just not incl economy.  I would have to say YES - lets legalize it!","1","0.16"
"I very happy that our state has finally legalized the use of these products, very helpful for my pIn","1","0.16"
"I want to kick these politicians in their behinds! Cannabis is a big threat to the pharma industry; that said, we need to take them on! I live in a state with a poor medical law - too tightly regulated. I go elsewhere to buy it legally. ","1","0.16"
"I wish it was legal in all 50 states","1","0.16"
"I would like everyone to know the pros of cannabis use","1","0.16"
"I would like it to be legalized and have a cap as to how much money it can cost. And would like big pharma to stay out of it","1","0.16"
"I would like very much to c weed legalize in NC","1","0.16"
"I’m all for it ","1","0.16"
"I’m all for it!! Our laws are very outdated to the research and effects that cannabis has. Only positive vibes!!!","1","0.16"
"I’m for it ","1","0.16"
"I’m pretty happy about it and maybe it can reduce stigma","1","0.16"
"I’m so for it the amount of jobs and tax revenue it will bring to the state of Massachusetts is astronomical and important for us to grow as a state ","1","0.16"
"I’m very pleased with it. I feel necessary for so many people and certainly less harmful than prescription medications I was on for chronic pain. ","1","0.16"
"ibthink just the Medical should remain legal","1","0.16"
"If it is legalized, there needs to be better consumer education regarding safe consumption.  ","1","0.16"
"if we can get it legalized on a federal lever, maybe insurance companies will change their stance and cover medical marijuana just as they do Percocet, Vicodin, etc. I am out of work due to an accident on a job, now I could no longer afford private health care so I am on Mass Health. I have 2 sons and my wife is a student so we survive off my weekly workers comp check. After my surgeries, unless I want to load up on oxycodone, I have to pay out of pocket for medical marijuana, which can be costly, especially on low income.","1","0.16"
"If you're 21, it should be legal.","1","0.16"
"im all for it. mothers should stop being tested for thc if its legal.","1","0.16"
"imperative","1","0.16"
"in favor of legal cannabis","1","0.16"
"Indifferent ","1","0.16"
"Is a must for treating illness","1","0.16"
"It's about goddamn time!","1","0.16"
"It's about time!","1","0.16"
"It's about time, but regulatory efforts must be supported and enforced. I see it as akin to alcohol - and in some cases a replacement for alcohol - where limits must be respected and underage access strictly prevented.","1","0.16"
"It's about time, never should have been illegal.","1","0.16"
"It's about time. Still a long way to go.","1","0.16"
"it's about time...","1","0.16"
"It's almost certainly a positive for society, but either way we'll now have access to enough information to find out for sure. ","1","0.16"
"It's been a long road but it's expanding to possibly cafes!","1","0.16"
"It's been a long slow process...something needs to change and fast.","1","0.16"
"It's been a long time coming. Now let's make some real progress!","1","0.16"
"It's been way too long!  Canada is ahead of the U.S. per usual","1","0.16"
"It's beneficial to people and the government's pocket as well.","1","0.16"
"It's going to be too expensive to buy legally.TAXES!","1","0.16"
"It's good","1","0.16"
"It's great, but everything revolves around money. ","1","0.16"
"It's insane that cannabis is illegal. Prohibition is a terrible policy for almost anything, but especially something that is either benign or beneficial as cannabis is. Legalization needs to happen so that innocent people stop being punished and so that use of a relatively harmless substance stops being a way for private prisons to profit off of what is essentially slave labor.     Not to mention giant pharmaceutical companies pushing meds, opioid epidemic destroying communities and fammilies, alcohol abuse affecting quality of life/public safety, etc. The list goes on forever and I'm sure you've heard it all.     Bottom line, cannabis should never have been outlawed and the fact that it can't even be studied is a travesty. ","1","0.16"
"It's legal in my state and I am grateful ","1","0.16"
"It's necessary for many reasons.","1","0.16"
"It's not legalization, it's only taxation","1","0.16"
"It's safer than alcohol and the stigma around it needs to be changed. ","1","0.16"
"It's safer than legal prescription & non-prescription drugs with no serious or threatening side affects. It has a higher rate of success for many medical outcomes.","1","0.16"
"it's time.","1","0.16"
"It aligns with the needs of the humans race. - NA","1","0.16"
"It can't happen quicker! I was an alcoholic. If I had tried cannabis I wouldn't have been. The last decade of my life would have been better! And now I'm using it to try to save my life. The irony","1","0.16"
"It comes from the earth... ","1","0.16"
"It has been a long time coming and much needed in comparison to other OTC/street pharmaceuticals ","1","0.16"
"It has been a long time coming, and will only bring positive things to our community!","1","0.16"
"It has been an absolute travesty that such a beneficial plant has been so unjustly demonized by our government. The American Public deserves an official government apology and correction for the ""fake news"" that they have created and diseminated since 1937. Cannabis should be immediately re-scheduled, studied for its yet to to be fully determined benefits and legalized for consumption for anyone over the age of 21.  ","1","0.16"
"It has helped me drop numerous medications that were prescribed to me, since using cannabis I have stopped a life long battle with biting my finger nails. I am no longer a slave to prescription medication.","1","0.16"
"It is 100% necessary to legalize cannabis, destigmatize it, and stop arresting brown and black people for cannabis and allow them to participate and have a voice in the industry. ","1","0.16"
"It is a plant anyone can grow. ","1","0.16"
"It is a sacred plant, and should be legalized.  It is unfortunate that our government is so mis-informed.  ","1","0.16"
"it is a wonderful medical medicine ,best I have","1","0.16"
"It is about time, alchohal is far more dangerous. This should never have happened, we have wasted Billions of dollars fighting a battle on drugs, that failed misreavly. All the while creating a true drug problem legally in America through big pharma.thousands have died and gone to jail over marijuana and the truth is it should have been legal and a priority med over opiates and all other drugs. This should be addressed and made right asap.","1","0.16"
"It is essential to provide access for a multitude of reasons, especially medical. I most likely wouldn't have been kicked out of high school for possession of a quarter gram. Legalization will hopefully reduce stigma and redirect law enforcement efforts to more important issues.","1","0.16"
"It is extremely important to me that all states legalize medicinal use of cannabis.","1","0.16"
"It is long overdue and alarmingly slow in it's realization, with misinformation and minimal transparency that feels very wrong considering the vast majority of the people in this state are fully in favor of recreational use","1","0.16"
"It is long, long past due. I'm so happy it is happening. We need the Feds to recognize it now!","1","0.16"
"It is overdue ","1","0.16"
"It is safer and ""healthier"" than liquor. ","1","0.16"
"It is safer than alcohol! Taxation, education, and regulation are the key. It will reduce the burden on the legal system for non-violent crimes.   When consumed as edibles or vaporized flower, there seems to be almost no negative health impacts.    LEGALIZE! ","1","0.16"
"It is way overdue","1","0.16"
"It is wonderful!","1","0.16"
"It just needs to be re scheduled at the federal level. ","1","0.16"
"it needs to be done ASAP","1","0.16"
"It needs to be done. ","1","0.16"
"It needs to be federally legalized. ","1","0.16"
"It needs to be fully legal for any purpose -- and people should be allowed to grow as much of their own as they want. Exchanging different strains and tinctures with other people would be great -- if I could locate others who would be interested in this.","1","0.16"
"It needs to be legal everywhere for any purpose, just like abortion.","1","0.16"
"It needs to be legalized and accessible to all that need it.","1","0.16"
"It needs to be legalized everywhere so the quality can continue to rise, while the cost drops. Its important to know what I am smoking is safe and has been tested. ","1","0.16"
"It needs to happen in more places. Cannabis criminalization is a major way that POC have been funneled into prisons. ","1","0.16"
"It needs to happen soon","1","0.16"
"It never should have been illegal in the first place. ","1","0.16"
