"q56","What is your favorite cannabis strain?","n =  320"
"Sour Deisel","1","0.36"
"Sour desiel ","1","0.36"
"Sour diesel ","1","0.36"
"Sour Diesel ","1","0.36"
"Sour Pineapple ","1","0.36"
"Sour tangie ","1","0.36"
"Sour tsunami, and Harley Quinn ","1","0.36"
"space candy","1","0.36"
"star killer cornbread plat bubba kush","1","0.36"
"star killer plat buuba kush cornbread","1","0.36"
"Stevia","1","0.36"
"Still searching","1","0.36"
"strawbwrry","1","0.36"
"Sunset Daydream","1","0.36"
"Super Sour Diesel","1","0.36"
"Tangerine Dream ","1","0.36"
"test","1","0.36"
"Texada","1","0.36"
"Timing Dean almog","1","0.36"
"To many to choose","1","0.36"
"Trainwreck","1","0.36"
"Tropicanna","1","0.36"
"Unk","1","0.36"
"Unknown","1","0.36"
"varies","1","0.36"
"various","1","0.36"
"Wappa CBD ","1","0.36"
"White Fire OG","1","0.36"
"White knuckles ","1","0.36"
"White widow","1","0.36"
