"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10834249218,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10834149798,"","","","","1  gram"
10834053271,"2-3 grams","1/2 gram","","","1/4 gram or less"
10833790283,"1/4 ounce (~7 grams)","","","","1  gram"
10833722328,"","","","",""
10833532176,"","","","",""
10832963325,"","","","","8 grams to 1/2 ounce (~14 grams)"
10832733276,"","","","",""
10832732691,"","","","",""
10832483530,"","","","",""
10832451640,"1  gram","","","",""
10832404058,"1  gram","","","","1/4 gram or less"
10832343863,"","","","",""
10832270581,"2-3 grams","","","","1/2 gram"
10832233395,"","8 grams to 1/2 ounce (~14 grams)","","",""
10832233224,"","1/2 gram","","",""
10832224616,"1  gram","","","",""
10832206360,"","","","",""
10832200410,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10832173617,"","","","","4-6 grams"
10832167633,"1/2 gram","","","",""
10832133946,"15 grams to 1 ounce (~28 grams)","1/2 gram","","",""
10832128566,"","","","",""
10832123166,"2-3 grams","","","",""
10832012122,"1  gram","","","",""
10831948698,"1/4 gram or less","","","",""
10831931418,"1/2 gram","","","",""
10831898832,"4-6 grams","","","",""
10831893906,"","","","",""
10831865696,"4-6 grams","1/2 gram","","",""
10831686982,"","","","",""
10831669468,"1  gram","","","","1/4 ounce (~7 grams)"
10831609109,"","","","",""
10831397885,"","","","",""
10830896942,"","","","","1  gram"
10830882008,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10830786742,"","2-3 grams","","",""
10830145897,"I don't know how much I use per week","","","",""
10823088016,"4-6 grams","","","","1/4 gram or less"
10822621750,"","","","",""
10822544735,"","","","",""
10813811475,"1/4 gram or less","","","",""
10808168894,"","","","",""
10802360410,"8 grams to 1/2 ounce (~14 grams)","1  gram","","","1/4 gram or less"
10800317244,"8 grams to 1/2 ounce (~14 grams)","","","",""
10764443236,"2-3 grams","","","",""
10763284450,"","","","",""
10762649964,"1  gram","","","",""
10756966241,"2-3 grams","","","",""
10749570344,"1/4 ounce (~7 grams)","","","",""
10749222846,"","","","",""
10726117373,"","1/4 gram or less","","",""
10716518478,"","","","",""
10691181667,"1/4 gram or less","","","",""
10686863888,"1  gram","","","",""
10685524216,"1/4 gram or less","","","",""
10685325930,"I don't know how much I use per week","","","",""
10681003613,"1/4 gram or less","","","",""
10677560387,"I don't know how much I use per week","","","",""
10676786628,"1/4 ounce (~7 grams)","None","","","1/4 gram or less"
10675303210,"15 grams to 1 ounce (~28 grams)","","","","4-6 grams"
10675097210,"","","","",""
10671862630,"8 grams to 1/2 ounce (~14 grams)","","","",""
10670361680,"2-3 grams","","","",""
10668597062,"","","","",""
10668361624,"","","","",""
10668312322,"","","","",""
10668135000,"1/4 gram or less","","","",""
10668103394,"1  gram","","","",""
10667907917,"","","","",""
10667582585,"","","","","2-3 grams"
10667425695,"","","","",""
10667398958,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
10667384979,"I don't know how much I use per week","","","",""
10667384024,"","1/2 gram","","",""
10667369837,"8 grams to 1/2 ounce (~14 grams)","","","","None"
10665891738,"I don't know how much I use per week","","","",""
10660833205,"1/4 gram or less","","","",""
10660294275,"More than 1 ounce","1  gram","","",""
10659841121,"","","","",""
10658774056,"2-3 grams","","","","1  gram"
10658741910,"1/4 gram or less","","","",""
10658649988,"1/4 ounce (~7 grams)","1/4 gram or less","","","2-3 grams"
10658580372,"","","","","None"
10658577550,"1/4 ounce (~7 grams)","","","",""
10658550964,"","","","","1/4 ounce (~7 grams)"
10648772348,"","","","","2-3 grams"
10626251939,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
10624147163,"4-6 grams","","","",""
10622925288,"","","","",""
10622502829,"","","","",""
10605637047,"","","","",""
10602936383,"2-3 grams","1/2 gram","","","1/4 gram or less"
10600857474,"","","","",""
10598715725,"1/4 gram or less","","","",""
10598255910,"","","","",""
10598122285,"","4-6 grams","","",""
10597419828,"1/4 ounce (~7 grams)","","","","1/2 gram"
10596255014,"1/4 ounce (~7 grams)","","","","1  gram"
10596131278,"","","","",""
10595615049,"1/4 ounce (~7 grams)","","","","1/2 gram"
10591451425,"1/2 gram","None","","",""
10589179962,"1/4 gram or less","None","","",""
10585520406,"1/4 ounce (~7 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
10584760225,"","","","",""
10583893598,"","","","",""
10583372838,"4-6 grams","","","","1/2 gram"
10582003543,"","1/4 ounce (~7 grams)","","",""
10581940017,"","","","",""
10581933788,"4-6 grams","","","",""
