"q59","What is the University or College closest to where you live?","n =  667"
"University of Oregon","2","0.3"
"Westfield ","2","0.3"
"WNEU","2","0.3"
"Worcester State","2","0.3"
"Aberdeen ","1","0.15"
"aic","1","0.15"
"Aic","1","0.15"
"Akron U","1","0.15"
"American International College ","1","0.15"
"Amherst ","1","0.15"
"Amherst college","1","0.15"
"Amherst College","1","0.15"
"Anna Maria","1","0.15"
"are you trying to track me down or something?","1","0.15"
"Babson College","1","0.15"
"Bates","1","0.15"
"Bay Path University ","1","0.15"
"Bc","1","0.15"
"BC","1","0.15"
"Beeklee","1","0.15"
"Bentley","1","0.15"
"Bentley university","1","0.15"
"Bentley university ","1","0.15"
"Berkshire community college","1","0.15"
"Bhcc ","1","0.15"
"Boston ","1","0.15"
"Boston college","1","0.15"
"BOSTON COLLEGE","1","0.15"
"Boston College ","1","0.15"
"Boston College/University/etc","1","0.15"
"Boston community college ","1","0.15"
"Boston university","1","0.15"
"Boston university ","1","0.15"
"BOSTON UNIVERSITY ","1","0.15"
"Boston University o","1","0.15"
"Bostoncollege","1","0.15"
"Bowdoin college","1","0.15"
"Brandeis University ","1","0.15"
"Bridgewater State","1","0.15"
"Bristol County Community College ","1","0.15"
"Bronx Community College","1","0.15"
"Brown","1","0.15"
"Bsu","1","0.15"
"Bu","1","0.15"
"Bunker Hill","1","0.15"
"Bunker Hill community college","1","0.15"
"Bunker Hill Community College ","1","0.15"
"Bunkerhill","1","0.15"
"Cape cod community ","1","0.15"
"cape cod community college","1","0.15"
"Cape Cod Community College ","1","0.15"
"Cape Cod Comunity","1","0.15"
"Cayetano Heredia","1","0.15"
"CCCC","1","0.15"
"Clark College","1","0.15"
"Clatsop Community College","1","0.15"
"College of Dupage ","1","0.15"
"CSU Sacramento","1","0.15"
"CU Denver","1","0.15"
"CU Denver - but went to UMASS Amherst","1","0.15"
"Curry College","1","0.15"
"Curry college ","1","0.15"
"Dartmouth ","1","0.15"
"Dean colege","1","0.15"
"Dean college","1","0.15"
"Dean college probably","1","0.15"
"Delta college","1","0.15"
"Denver University","1","0.15"
"don't know","1","0.15"
"Elms College","1","0.15"
"Elms College ","1","0.15"
"Elms College, Springfield College, Western New England University","1","0.15"
"Emerson College","1","0.15"
"Endicott College","1","0.15"
"Fisher College","1","0.15"
"FITCHBURG state","1","0.15"
"FKCC","1","0.15"
"Framingham state","1","0.15"
"Framingham State Uni","1","0.15"
"Framingham state university","1","0.15"
"Freiburg","1","0.15"
"FSU","1","0.15"
"Gcc ","1","0.15"
"Glendale Community College","1","0.15"
"Grand Valley State University","1","0.15"
"Grant Macewan","1","0.15"
"Greenfield community college ","1","0.15"
"harvard","1","0.15"
"Harvard College","1","0.15"
"Harvard University","1","0.15"
"Harverd ","1","0.15"
"Hastings College","1","0.15"
"Hcc","1","0.15"
"Holy Cross","1","0.15"
"holyoke ","1","0.15"
"Holyoke community college ","1","0.15"
"Holyoke Community College ","1","0.15"
"I don’t know","1","0.15"
"I don’t know. I live in Boston ","1","0.15"
"I dont know ","1","0.15"
"Idk","1","0.15"
"Jefferson University ","1","0.15"
"Kaskaskia community college ","1","0.15"
"LaSalle","1","0.15"
"Lasell College","1","0.15"
"Lawrence Memorial Hospital School of Nursing","1","0.15"
"LCSC","1","0.15"
"Lesly University ","1","0.15"
"Loyalist ","1","0.15"
"Loyola ","1","0.15"
"LOYOLA CHICAGO ","1","0.15"
"Lynn Community College","1","0.15"
"M.I.T.","1","0.15"
"Mass Art","1","0.15"
"Mass Maritime Academy","1","0.15"
"Massachusetts Institute of Technology","1","0.15"
"Massachusetts Institute of Technology ","1","0.15"
"Maynooth University","1","0.15"
"Memorial U Newfoundland ","1","0.15"
"Merrimack","1","0.15"
"Merrimack ","1","0.15"
"Merrimack college","1","0.15"
"Merrimack College ","1","0.15"
"Metro State","1","0.15"
"Michigan state","1","0.15"
"Middle Tennessee State University","1","0.15"
"Middlesex","1","0.15"
"Middlesex community college","1","0.15"
"Middlesex Community College","1","0.15"
"Middlesex Community College ","1","0.15"
"Montana State University","1","0.15"
"mount holyoke","1","0.15"
"Mount holyoke","1","0.15"
"Mount Holyoke","1","0.15"
"Mount Saint Mary College","1","0.15"
"Mount Wachusett Community College Gardner, MA","1","0.15"
"mt holyoke","1","0.15"
"Mt. Holyoke College","1","0.15"
"Mtti","1","0.15"
"N/a","1","0.15"
"Na","1","0.15"
"Na ","1","0.15"
"Nashua Community College","1","0.15"
"National university ","1","0.15"
"NECC","1","0.15"
"Necco","1","0.15"
"Niagara College","1","0.15"
"Nichols","1","0.15"
"NIU","1","0.15"
"No Idea","1","0.15"
"no idea, there are 60+ in the Boston area","1","0.15"
"North Eastern","1","0.15"
"north shore community college","1","0.15"
"North shore community college","1","0.15"
"NOrtheastern University","1","0.15"
"Northeastern university ","1","0.15"
"Northeastern University ","1","0.15"
"Northern Essex Community","1","0.15"
"Northshore Community College ","1","0.15"
"Not applicable ","1","0.15"
"not sure","1","0.15"
"Not sure ","1","0.15"
"Notre Dame","1","0.15"
"NWU VARSITY","1","0.15"
"Oregon state university","1","0.15"
"Oregon University and Lane Community College","1","0.15"
"Pacific Northwest University of Health Sciences","1","0.15"
"Pennsylvania State University","1","0.15"
"Plymouth State University ","1","0.15"
"Portland State University","1","0.15"
"Prefer not to answer","1","0.15"
"Providence ","1","0.15"
"QCC","1","0.15"
"Queens","1","0.15"
"quincy college","1","0.15"
"Quincy community colledge","1","0.15"
"Quinsigamond community college ","1","0.15"
"Reading Area Community College","1","0.15"
"Rivier College","1","0.15"
"Roger William’s University","1","0.15"
"Roger Williams","1","0.15"
"Rowan ","1","0.15"
"Roxbury Community College","1","0.15"
"RPI","1","0.15"
"RWU","1","0.15"
"Sacred heart university ","1","0.15"
"salem state","1","0.15"
"Salem state university","1","0.15"
"Salem State University ","1","0.15"
"Salem University ","1","0.15"
"San Francisco State","1","0.15"
"San Francisco State University","1","0.15"
"San Jose State","1","0.15"
"Smith College ","1","0.15"
"Sonoma State University","1","0.15"
"Southern Oregon University","1","0.15"
"Springfield college","1","0.15"
"Springfield college ","1","0.15"
"Springfield College ","1","0.15"
"Springfield community college","1","0.15"
"Springfield Technicsl Community College","1","0.15"
"State university ","1","0.15"
"stcc","1","0.15"
"Stcc","1","0.15"
"Stcc ","1","0.15"
"Sticc","1","0.15"
"Stonehill","1","0.15"
"Suffolk","1","0.15"
"tamucc","1","0.15"
"Temple","1","0.15"
"The University of Massachusetts at Dartmouth","1","0.15"
"Tidewater Community College//Old Dominion University // Norfolk State University","1","0.15"
"Trinity College","1","0.15"
"Tufts ","1","0.15"
"Tufts university ","1","0.15"
"Tufts University ","1","0.15"
"U Mass","1","0.15"
"U mass boston","1","0.15"
"U mass dartmouth","1","0.15"
"U of Dayton","1","0.15"
"U of New Hampshire","1","0.15"
"UC San Diego","1","0.15"
"UCB","1","0.15"
"UCCS","1","0.15"
"ucf","1","0.15"
"UCF","1","0.15"
"Uconn","1","0.15"
"UCSB","1","0.15"
"UMASD","1","0.15"
"UMass-Lowell","1","0.15"
"Umass  Dartmouth","1","0.15"
"umass amherst","1","0.15"
"UMASS Amherst","1","0.15"
"UMASS Amherst ","1","0.15"
"Umass Boston","1","0.15"
"Umass Boston ","1","0.15"
"UMass Boston or Northeastern University","1","0.15"
"Umass community college ","1","0.15"
"Umass Darthmoth","1","0.15"
"Umass Dartmoth ","1","0.15"
"Umass dartmouth","1","0.15"
"UMass Dartmouth ?","1","0.15"
"UMASS Dartmouth or BCC","1","0.15"
"Umass lowell","1","0.15"
"Umass Lowell ","1","0.15"
"UMass, Westfield State University, Stcc,Hcc","1","0.15"
"Umass/Amherst","1","0.15"
"UMD","1","0.15"
"UMF","1","0.15"
"UNBC","1","0.15"
"UNC Chapel Hill","1","0.15"
"UNCG","1","0.15"
"UNE","1","0.15"
"UNH","1","0.15"
"Unity College","1","0.15"
"Univ of Mass, Dartmouth","1","0.15"
"Universität Stuttgart ","1","0.15"
"University of Bridgeport ","1","0.15"
"University of Calgary","1","0.15"
"University of California, San Francisco","1","0.15"
"University of Cincinnati","1","0.15"
"University of Colorado ","1","0.15"
"University of Colorado Boulder","1","0.15"
"University of Colorado, Boulder","1","0.15"
"University of Dartmouth","1","0.15"
"University of Florida","1","0.15"
"University of Houston","1","0.15"
"University of humanity and social sciences","1","0.15"
"University of Maine at Augusta","1","0.15"
"University of Maine, Fort Kent","1","0.15"
"University of Massachusetts (Boston)","1","0.15"
"University of Massachusetts/Amherst","1","0.15"
"University of Michigan","1","0.15"
"University of Michigan-Dearborn ","1","0.15"
"University of Nevada, Las Vegas","1","0.15"
"University of New Mexico","1","0.15"
"University of Portland","1","0.15"
"University of South Carolina","1","0.15"
"University of southern Maine ","1","0.15"
"University of Suffolk","1","0.15"
"University of Tulsa","1","0.15"
"University of Vermont","1","0.15"
"University of Washington","1","0.15"
"Unlv","1","0.15"
"UNLV","1","0.15"
"UNO","1","0.15"
"UNR","1","0.15"
"unsure","1","0.15"
"UPR Recinto de Rio Piedras","1","0.15"
"usc","1","0.15"
"USD, UC San Diego, SDSU, etc","1","0.15"
"USF","1","0.15"
"USM","1","0.15"
"UTA","1","0.15"
"Victor Valley College","1","0.15"
"Wachusett ","1","0.15"
"Wachusett Community College","1","0.15"
"Wake Forest University","1","0.15"
"Washington College","1","0.15"
"Wayne State","1","0.15"
"Wellesley College","1","0.15"
"west point","1","0.15"
"Western Connecticut ","1","0.15"
"Western New England","1","0.15"
"Western new england university","1","0.15"
"Westfield state","1","0.15"
"Westfield State","1","0.15"
"Westfield State ","1","0.15"
"Westfield state university ","1","0.15"
"Westfield university","1","0.15"
"Westfield University ","1","0.15"
"Wheaton","1","0.15"
"Wichita","1","0.15"
"Willamette University","1","0.15"
"wnec","1","0.15"
"Wnec","1","0.15"
"WNEC","1","0.15"
"Wneu ","1","0.15"
"worcester state university","1","0.15"
"Worcester State Unviersity","1","0.15"
"WSU ","1","0.15"
"Yale University ","1","0.15"
