"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  804"
"dr. grinspoon","1","0.12"
"Drinks","1","0.12"
"Drinks that aren't 30$ a dose","1","0.12"
"Drinks, diamonds","1","0.12"
"drops","1","0.12"
"dry sift rosin that isn't crazy expensive","1","0.12"
"Durban poison ","1","0.12"
"Durban Poison ","1","0.12"
"Durban Poison, Maui Wowi, more old school strains/land races in general","1","0.12"
"Durbhan","1","0.12"
"Edible Options, high dose gummy/lozenges.","1","0.12"
"edibles","1","0.12"
"Edibles ","1","0.12"
"Every thing that I want for the time being is available to me.","1","0.12"
"everything ","1","0.12"
"Everything because recreational dispensaries aren’t open yet.","1","0.12"
"Everything. Dispensaries are poor overall supply right now ","1","0.12"
"Far higher CBD content at a lower price point","1","0.12"
"Fire OG","1","0.12"
"flo o g","1","0.12"
"Floriden ","1","0.12"
"flower and concentrates","1","0.12"
"Food","1","0.12"
"Fresh foods ","1","0.12"
"Fruit flavored lemon was nice ","1","0.12"
"Fruity pebbles","1","0.12"
"Fruity pebbles, headband, strawberry cough ","1","0.12"
"Full meals","1","0.12"
"GG","1","0.12"
"GG#4","1","0.12"
"GG4","1","0.12"
"girl scout cookie","1","0.12"
"Girl Scout cookies","1","0.12"
"Girl Scout Cookies","1","0.12"
"Gluten free edibles","1","0.12"
"Gluten Free Edibles","1","0.12"
"Godfather OG","1","0.12"
"Golden Goat and the Coff","1","0.12"
"Grand Daddy Kush","1","0.12"
"Grand daddy purple ","1","0.12"
"grandaddy purple, ultimate trainwreck, edibles","1","0.12"
"Granddaddy Purple","1","0.12"
"grandpa's breath","1","0.12"
"Grape Stomper in a high quality glass vape cartridge","1","0.12"
"Grape, strawberry","1","0.12"
"Green crack","1","0.12"
"Green Crack","1","0.12"
"Green crack, fruity pebbles, deadhead, blue dreams, khalifa kush, etc. ","1","0.12"
"Green Crack, Skywalker","1","0.12"
"GSC","1","0.12"
"Gummies","1","0.12"
"Gummy bears and other editables ","1","0.12"
"Habit","1","0.12"
"Happy with the selection at bask","1","0.12"
"Hard candies ","1","0.12"
"Harlequin ","1","0.12"
"Harlequin and more 1:1 products ","1","0.12"
"Harlequin flower, CBD topical rub isn’t sold at Sira Naturals ","1","0.12"
"Harlequin or other high cbd","1","0.12"
"hash","1","0.12"
"Hash- strawberry cough flower. Vape cartridges ","1","0.12"
"Hash ","1","0.12"
"hash not bubble","1","0.12"
"Hash plant mix","1","0.12"
"hashish","1","0.12"
"Hashish","1","0.12"
"Hashplant","1","0.12"
"Have never purchased from dispensary","1","0.12"
"Haven’t been. Can’t afford that ","1","0.12"
"Haven’t researched outside area","1","0.12"
"Hawaiian?","1","0.12"
"Haze","1","0.12"
"Headband and Bruce Banner","1","0.12"
"Headband, acdc","1","0.12"
"Heavy indica’s","1","0.12"
"Help with pain and depression","1","0.12"
"Hemp Wick ","1","0.12"
"High-dose (therapeutic levels) CBD products at a much more affordable price point","1","0.12"
"High CBD flower (esp. 2:1 CBD/THC strains)","1","0.12"
"High cbd strains","1","0.12"
"High CBD Strains","1","0.12"
"High Dose Edibles (non tincture), vape cartridges that dont suck ","1","0.12"
"high thca hybrids","1","0.12"
"Higher mg doseages for measured products, more indicas available on market","1","0.12"
"Higher mg edibles","1","0.12"
"Higher thc ","1","0.12"
"Higher thc content","1","0.12"
"Higher THC edibles","1","0.12"
"HMBLDT DOSIST PENS","1","0.12"
"Hmmmm","1","0.12"
"hybrid","1","0.12"
"i'm good","1","0.12"
"I'm not sure","1","0.12"
"I am unfortunately unfamiliar with strain names ","1","0.12"
"I can find what I need","1","0.12"
"I can get anything through the community but I would like to see more medical research","1","0.12"
"I can get everything I need here in Vancouver.","1","0.12"
"I do not have a local dispensary ","1","0.12"
"I don't have a local dispensary, so thats what I would like.","1","0.12"
"i don't know","1","0.12"
"i don't know yet","1","0.12"
"I don't know.  Just know I like a hybrid with more indica","1","0.12"
"i dont know whats in the dispensary as i dont have a medical card","1","0.12"
"I grow my own ","1","0.12"
"I have access to anything I want","1","0.12"
"I have been looking for whole plant lower thc tincture/ seems like mostly extracts available and/or high thc","1","0.12"
"I have not been provided an option to even choose","1","0.12"
"I like to try new things, so nothing yet ","1","0.12"
"I want more reliable vape cartridges/ safer and easier to use dab rigs","1","0.12"
"I want more salves/topicals and personal lubricants. ","1","0.12"
"I would like to see more sativa","1","0.12"
"Id like more selection of cbd flower","1","0.12"
"idk","1","0.12"
"IDK","1","0.12"
"Infused beauty products ","1","0.12"
"Infused coconut oil","1","0.12"
"Infused coffee beans, Flavored cartridges, more candies, ","1","0.12"
"Infused soda","1","0.12"
"Inhalers","1","0.12"
"it's all the same, right? i need real numbers, not vaguely violent/sexist/food related names","1","0.12"
"It is really difficult to find good 1:1 THC/CBD strains, so much so that I can't actually name a single one off the top of my head.","1","0.12"
"Jack Cookies","1","0.12"
"Jack Herer, cheap RSO and rosin","1","0.12"
"Jack Herrar and family ","1","0.12"
"Jack Herrer","1","0.12"
"Jilly Bean","1","0.12"
"Jupiter joints ","1","0.12"
"Just CBD products. Not 1-1 products. ","1","0.12"
"Katsu Bubba Kush","1","0.12"
"Keefe","1","0.12"
"keif, train wreck","1","0.12"
"Keto/paleo friendly edibles ","1","0.12"
"khalifa kush","1","0.12"
"Kief","1","0.12"
"King tut","1","0.12"
"Kush","1","0.12"
"LA Confidential","1","0.12"
"Labeled edibles as ""Sativa"" or ""Indica""; many currently say ""Unknown strain""","1","0.12"
"Lambs breath ","1","0.12"
"larger cartridges","1","0.12"
"Larger selection of flower","1","0.12"
"Larger variety of edibles","1","0.12"
"Laughing Gas","1","0.12"
"Legacy strains. i.e. Kona Gold, Lamb's Breath, and other famous strains of the 60's and 70's.","1","0.12"
"Lemon Skunk,  and Hash Oil","1","0.12"
"Like to try new strains ","1","0.12"
"Literally all of them. I live in a state that only legalized CBD. I cannot have anything with THC in it so no ""strains"" are available. There are some that are sold with the THC breed out, but they hardly qualify as a ""strain""","1","0.12"
"Live resin full melt hash (rosin brothers)","1","0.12"
"Live rosin","1","0.12"
"Local dispensaries for recreational use don't exist,  despite voter decision","1","0.12"
"Local selection is fairly limited; I usually just try whatever they have at the time. The top three that I listed above are inaccurate. I haven't tried enough strains to have favorites at this time.","1","0.12"
"Lollipops","1","0.12"
"lotion and tincture","1","0.12"
"Lotion/salve","1","0.12"
"Lower prices because the disp.are making MILLIONS  and they should share profits.","1","0.12"
"magic beans","1","0.12"
"Many! Afghani, cannotonnic, ","1","0.12"
"Marijuana available to recreational users","1","0.12"
"Mary's Muscle Freeze","1","0.12"
"Massage oils ","1","0.12"
"Maui Wowie, Pineapple Express, Candyland","1","0.12"
"Medicated Sugar, Medicated Cooking Oil, VEGAN EDIBLES","1","0.12"
"Medusa, Master Kush","1","0.12"
"Mini pre rolls","1","0.12"
"Moon rocks lol","1","0.12"
"Moonrock","1","0.12"
"Moonrocks","1","0.12"
"Moonrocks ","1","0.12"
"More 1:1 CBD:THC strains","1","0.12"
"more capsule varieties","1","0.12"
"More cartridge options","1","0.12"
"More cartridges, wider selection of flower.","1","0.12"
"More CBD","1","0.12"
"More CBD products and lower dose edibles ","1","0.12"
"More CBD strains and concentrates ","1","0.12"
"More CBD/THC carts","1","0.12"
"More Chem Dog","1","0.12"
"More concentrate variety ","1","0.12"
"MORE CONCENTRATE VARIETY ","1","0.12"
"More delta-8 thc for nausea, CBN, full-spectrum products","1","0.12"
"More edible choices ","1","0.12"
"more edible choices, more concentrate choices","1","0.12"
"more edibles","1","0.12"
"More edibles","1","0.12"
"More edibles ","1","0.12"
"More edibles that are low in sugar. ","1","0.12"
"More flower choices  both indica and sativa . I would like to be able to consume in an social style establishment. ","1","0.12"
"More flower strains some times there’s only 3 choices ","1","0.12"
"More full spectrum organic CBD and organic cbn ","1","0.12"
"More Haze","1","0.12"
"More higher potency edibles","1","0.12"
"More hybrids","1","0.12"
"more indica only strains","1","0.12"
"More indica selections ","1","0.12"
"more indica shatter kinds","1","0.12"
"More Indica strains and less Sativa strains.","1","0.12"
"More indicas with 1:1 THC:CBD","1","0.12"
"More infused beverage options","1","0.12"
"More live rosin","1","0.12"
"More lotions","1","0.12"
"More microdose edibles ","1","0.12"
"More of a variety of topicals","1","0.12"
"more organic ingredients ","1","0.12"
"More purple strains ","1","0.12"
"More Rubi Pod options, more edible options.","1","0.12"
"More sativa","1","0.12"
"More sativa hybrids","1","0.12"
"More sativa options","1","0.12"
"more Sativa varieties ","1","0.12"
"More sativas and more variety of smokable products like mini-joints. Less distillate and more full spectrum oils. ","1","0.12"
"more sleep aid","1","0.12"
"More solventless extracts (rosin, hash) ","1","0.12"
"More spa products","1","0.12"
"More strains from the west coast","1","0.12"
"more topical","1","0.12"
"More topicals","1","0.12"
"more transdermal patches","1","0.12"
"More vape cartridge selection ","1","0.12"
"more vape cartridge strain selection ","1","0.12"
"More vape selection","1","0.12"
"More variety","1","0.12"
"More variety in edible s and topicals","1","0.12"
"More variety of edible treats","1","0.12"
"more variety of edibles","1","0.12"
"More variety of edibles","1","0.12"
"Mother Theresa, CannaTSRO1","1","0.12"
"much more potent edibles and tools/bowls/glassware to go with all the shatter and flower","1","0.12"
"My dispensary has a very broad variety, I have no complaints","1","0.12"
"My strains are always available, home grown ","1","0.12"
"N/A at this time","1","0.12"
"NEED HIGH THC LEVEL FLOWER","1","0.12"
"Never been to a dispensary","1","0.12"
"never been to a dispensary.  I wish I had them here.","1","0.12"
"Night Terror","1","0.12"
"no dispensary","1","0.12"
"no idea","1","0.12"
"no idea - why is this question required?","1","0.12"
"No idea. Use CBD oil","1","0.12"
"No local dispensaries, Arkansas is DRAGGING out the process since legalization","1","0.12"
"no sure","1","0.12"
"non-mentholated topicals","1","0.12"
"None-Market in NY is extremely restrictive and doesn't allow for such choices.","1","0.12"
"none ","1","0.12"
"None come to mind?","1","0.12"
"None I know of ","1","0.12"
"None identified","1","0.12"
"none that I can think of","1","0.12"
"None that I know of.","1","0.12"
"None; all are available.","1","0.12"
"Northern lights ","1","0.12"
"Northern lights Sweet tooth","1","0.12"
"Northern Lights!!","1","0.12"
"Not educated enough to know","1","0.12"
"Not enough variety in edibles both from mg and products in general","1","0.12"
"Not Legal - no dispensaries.","1","0.12"
"not sure","1","0.12"
"Not sure at this point","1","0.12"
"Not sure yet","1","0.12"
"not sure, mostly satisfied with what is at dispensaries","1","0.12"
"Not sure, willing to try new things ","1","0.12"
"nothing","1","0.12"
"Nothing I can think of","1","0.12"
"Nothing is available in Ireland legally!","1","0.12"
"nothing specific. Anything over 25% TAC...","1","0.12"
"NYC sour d ","1","0.12"
"O","1","0.12"
"Og kush","1","0.12"
"OG Kush, Panama Red, Acapulco Gold","1","0.12"
"Oil","1","0.12"
"Oils lotions ","1","0.12"
"Old school hashish, high end craft hashish","1","0.12"
"Older pure strains, Skunk #1, Northern lights, etc.","1","0.12"
"organic oils","1","0.12"
"Pack of pre rolled joints","1","0.12"
"panama red","1","0.12"
"Patches, inhalers","1","0.12"
"Pax new Era","1","0.12"
"pax vera smart vape pens and cartridges, and more glass flower pipes","1","0.12"
"Peanut butter ","1","0.12"
"Peanut butter cup edibles","1","0.12"
"personal lubricant ","1","0.12"
"Perth","1","0.12"
"Pineapple Express","1","0.12"
"Pineapple Express, Gorilla Glue","1","0.12"
"Pink Lemonade","1","0.12"
"places to hang out and sample product would be nice","1","0.12"
"Platinum Bubba Kush","1","0.12"
"Platinum huckleberry cookies","1","0.12"
"Pre wrapped blunts","1","0.12"
"Products sourced from other states","1","0.12"
"psychopsilocybin","1","0.12"
"Pure liquid","1","0.12"
"pure sativa cartridges","1","0.12"
"Purple Gorilla","1","0.12"
"Purple haze","1","0.12"
"Purple haze ","1","0.12"
"Purple haze, Lamborghini, vanilla kush","1","0.12"
"Purple kush","1","0.12"
"Purple Lamborghini ","1","0.12"
"purple urkle","1","0.12"
"Quality disposable vape pens","1","0.12"
"Real Columbian Gold","1","0.12"
"Real indicas with lots of linalool terpene","1","0.12"
"Reasonably priced products","1","0.12"
"Reasonably priced vape cartridges....80$-100$ is A LOT of money for 1gram... And $60 for .5grams is criminal(Neta)","1","0.12"
"Recreational use products ","1","0.12"
"Regular one","1","0.12"
"Rick simpson oil, granddaddy puple, and stronger edibles","1","0.12"
"Rick Simpson Oil, live rosin","1","0.12"
"Roadkill skunk ","1","0.12"
"Rolling papers with thc","1","0.12"
"Rosin carts high dose edibles 9lb hammer good hash","1","0.12"
"RSO / FECO","1","0.12"
"Rubi","1","0.12"
"Salves, capsules","1","0.12"
"Salves, Lotions, Topicals, infused cooking oils, Cannigars, MoonRocks, SunRocks, Jupiter Joints, Distillate Syringe refills, Sample Packs, ","1","0.12"
"Sativa","1","0.12"
"Sativa-dominant Hybrids such as Jack Frost","1","0.12"
"Sativa edibles","1","0.12"
"Sativas in vape cartridge","1","0.12"
"Sauce","1","0.12"
"Savory Edibles","1","0.12"
"Seeds","1","0.12"
"Seeds for growers!","1","0.12"
"Seeds, growing kits, much lower pricing overall","1","0.12"
"Self grown","1","0.12"
"Sensamillia","1","0.12"
"seringes of distilete ","1","0.12"
"Serious Happiness","1","0.12"
"Shatter","1","0.12"
"Shatter, wax","1","0.12"
"Sic aria ","1","0.12"
"sipostetory","1","0.12"
"Sirius Black","1","0.12"
"Sirius Black flower","1","0.12"
"Skittles ","1","0.12"
"Skunk road kill ","1","0.12"
"Skywalker/Skywalker OG, Mango Kush","1","0.12"
"Smaller dose edibles with 1:1 CBD:THC ratios","1","0.12"
"Smaller prerolls","1","0.12"
"Snoop Dogg OG, blueberry kush","1","0.12"
"Solvent Free Full Spectrum All Natural Products of All Kinds","1","0.12"
"something to help pack loose ground flower into my flower vape or pipe","1","0.12"
"Sour ","1","0.12"
"Sour candy","1","0.12"
"sour diesel ","1","0.12"
"Sour diesel ","1","0.12"
"Sour Diesel ","1","0.12"
"Sour Diesel & Blue Dream are both fantastic and classic strains that i'd love to see at Bask!","1","0.12"
"Sour diesel pre rolls","1","0.12"
"SOUR DIESEL/lambs bread","1","0.12"
"Space vape","1","0.12"
"Sprays","1","0.12"
"Star pupil, pineapple express","1","0.12"
"Starw cough sour diesel cherry berry lemon lime ak 47","1","0.12"
"Steven Hawkins ","1","0.12"
"Stizzy, more reasonable prices on wax, oil, shatter ","1","0.12"
"strain tangie","1","0.12"
"Strawberry Cough","1","0.12"
"Strawberry Snow Cone","1","0.12"
"strong cbd pills","1","0.12"
"stronger edibles","1","0.12"
"Sugar free edibles","1","0.12"
"Sun rocks","1","0.12"
"Super heavy indica strain ","1","0.12"
"Supplies","1","0.12"
"suppositories","1","0.12"
"Suppositories","1","0.12"
"Suppository","1","0.12"
"Sweet Tooth","1","0.12"
"Sweet Tooth ","1","0.12"
"Sweeth Tooth, GSC - only available randomly, not consistently","1","0.12"
"Tangerine haze/kush","1","0.12"
"Terp Sauce / Concentrates","1","0.12"
"That 70s Strain","1","0.12"
"THC Dip","1","0.12"
"Thc drinks","1","0.12"
"THC drops - one drop per mg potency","1","0.12"
"THC flower","1","0.12"
"THCa/CBDa (raw cannabinoids); High CBD options/CBD:THC ratios","1","0.12"
"THCV strains","1","0.12"
"there are no local recreational use dispensaries in Boston","1","0.12"
"There use to be a high dose mini grasshopper pie at one of the dispensaries that I wish would come back.  I am not so much a fan of the gummies as I am the hard candies.  ","1","0.12"
"They have what I need.","1","0.12"
"Those are the only strains I have access to.  Would like many more. ","1","0.12"
"Tinctures","1","0.12"
"Too many to list","1","0.12"
"Too many to mention","1","0.12"
"topicals","1","0.12"
"Topicals","1","0.12"
"Trainwreck","1","0.12"
"Transdermal creams, Blue Dream, more high CBD strains","1","0.12"
"Transdermal patch, Star Kush, OG Kush","1","0.12"
"Transdermal patches","1","0.12"
"Treatwell tinctures","1","0.12"
"Triangle mints","1","0.12"
"Trokie","1","0.12"
"TRUE WEST COAST GENITICS","1","0.12"
"type (indica/sativa) specific edibles","1","0.12"
"Underdawg","1","0.12"
"unknown","1","0.12"
"unknown.. need education","1","0.12"
"Vaginal Suppositories","1","0.12"
"vaginal suppositories, high-dose edibles (200+ mg), empty cartridges and other thc-specific vaporizer supplies","1","0.12"
"Vape cartridges","1","0.12"
"Vape pens","1","0.12"
"Varied topicals","1","0.12"
"Variety of hybrid flowers and pre rolls","1","0.12"
"Vegan edibles","1","0.12"
"Vegan edibles and topicals ","1","0.12"
"WE don't have Dispensaries in GA","1","0.12"
"Wedding cake","1","0.12"
"Wedding Cake","1","0.12"
"West Coast","1","0.12"
"Where do I begin? More variety of prerolls packages vs singles. ","1","0.12"
"White Widow","1","0.12"
"White Widow Green Crack  Moon Rocks  White Berry Blue Dream","1","0.12"
"Wider selection of edibles, more balanced thc/cbd edibles/strain specific inctures and edibles","1","0.12"
"Wizard Tears","1","0.12"
"Yoda","1","0.12"
