"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  293"
"Garrila glue","1","0.34"
"Ghost train Haze ","1","0.34"
"Girl Scout Cookie, Blue Dream, Jack Kush","1","0.34"
"Good reliable edibles","1","0.34"
"Grape God","1","0.34"
"Greater mixes of CBG:THC ratios","1","0.34"
"Harlequin ","1","0.34"
"Harleyquinn","1","0.34"
"Hash","1","0.34"
"Hash oils","1","0.34"
"hashish","1","0.34"
"Hawaiian ","1","0.34"
"Hawaiian or Sensamellian","1","0.34"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.34"
"Higher CBD strains","1","0.34"
"Higher dose capsules","1","0.34"
"HTFSE","1","0.34"
"hybrid capsules","1","0.34"
"i do not know","1","0.34"
"I don't have legal access to cannabis","1","0.34"
"I don't knoe","1","0.34"
"I don't know yet","1","0.34"
"I don’t go out in public much don’t know","1","0.34"
"I have access to the types I want","1","0.34"
"idk","1","0.34"
"indica","1","0.34"
"Inhaler","1","0.34"
"Jack Herer ","1","0.34"
"Jack Herrer, Skywalker, purple train wreck","1","0.34"
"Jungle Boys","1","0.34"
"Kief","1","0.34"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.34"
"Lambs breath, landrace strains","1","0.34"
"Lemon G","1","0.34"
"Lemon Skunk","1","0.34"
"Live resin, diamonds, sauce, sugar","1","0.34"
"Local Dispensaries lol","1","0.34"
"Look","1","0.34"
"Lotions","1","0.34"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.34"
"Many of them, so I grow my own","1","0.34"
"MJs Wellness","1","0.34"
"More 1:1 or 2:1 thc:cbd ratio","1","0.34"
"More concentrate selection","1","0.34"
"More edible variety","1","0.34"
"more INDICA with lower THC,i need sleep","1","0.34"
"more indicas","1","0.34"
"More vape choices","1","0.34"
"Most","1","0.34"
"Mr. Nice guy","1","0.34"
"N/A I live in an illegal state. ","1","0.34"
"No answer","1","0.34"
"No idea","1","0.34"
"No local dispensary ","1","0.34"
"Non","1","0.34"
"None ","1","0.34"
"None are available in Louisiana","1","0.34"
"None available in my state","1","0.34"
"Nope ","1","0.34"
"Northern lights","1","0.34"
"Not applicable","1","0.34"
"not sure","1","0.34"
"Not sure ","1","0.34"
"Nothing comes to mind","1","0.34"
"Nothing is availible","1","0.34"
"Pineapple Express, Skywalker OG","1","0.34"
"Pinnaple express","1","0.34"
"Powdered drink mix packets for water","1","0.34"
"Purple Haze","1","0.34"
"Quality over name","1","0.34"
"Reasonably priced medicine","1","0.34"
"Rockstar, THC 32%, CBD 13%","1","0.34"
"Seeds and  clones ","1","0.34"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.34"
"Skywalker","1","0.34"
"Skywalker ","1","0.34"
"Smokable flower","1","0.34"
"stativa","1","0.34"
"Still learning on a App, called weed maps ","1","0.34"
"Strain specific vape carts","1","0.34"
"strains, including high CBD, more available strains","1","0.34"
"terpene  rich strains","1","0.34"
"thai stick","1","0.34"
"Tinctures","1","0.34"
"Traditional hash & bubble hash","1","0.34"
"Unk","1","0.34"
"unkown","1","0.34"
"Vape cartridge","1","0.34"
"vape cartridges (massachusetts)","1","0.34"
"Vape cartridges were recently outlawed in my state, so having to seek elsewhere.","1","0.34"
"Vape Carts","1","0.34"
"Variety of edibles ","1","0.34"
"Vietnamese Gold","1","0.34"
"Wax","1","0.34"
"Wax or cartridges","1","0.34"
"Wax, Shatter, Rosen, lower costs ","1","0.34"
"Way stronger edibles, please, for the love of God","1","0.34"
"White Rhino, Girl Scout Cookies, Pineapple Express","1","0.34"
"White Rino","1","0.34"
"white widow","1","0.34"
"white widow flower","1","0.34"
