"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  796"
"Blueberry kush","1","0.13"
"Boost Vyb cartridges","1","0.13"
"Bootylicious ","1","0.13"
"Breakfast, Bay11","1","0.13"
"bruce banner","1","0.13"
"Bruce Banner","1","0.13"
"Bubble Hash","1","0.13"
"Bubble Kush","1","0.13"
"Bubblegum skunk#1 ","1","0.13"
"Bulk vape oil, maybe in a loaded syringe. I would prefer to fill my own more quality cartridges that don't malfunction.  ","1","0.13"
"California dream","1","0.13"
"California weed","1","0.13"
"can't think of any","1","0.13"
"Can't think of any ","1","0.13"
"can't think of anything","1","0.13"
"Can’t think of any","1","0.13"
"Canna butter","1","0.13"
"Cannabis-infused beverages","1","0.13"
"Cannabis gum","1","0.13"
"cannabis lube","1","0.13"
"Cannabis seeds","1","0.13"
"Cannatonic","1","0.13"
"Cannatonic flower vape, TD patches","1","0.13"
"Cannatonic, Jack Herer","1","0.13"
"capsules","1","0.13"
"Capsules","1","0.13"
"Capsules and more choices of edibles","1","0.13"
"capsules/tincture/oils w/o any sugar, ""natural"" flavors, binders, gums etc","1","0.13"
"Cartridge refills","1","0.13"
"Caviar joints","1","0.13"
"Caviar Prerolled Joints","1","0.13"
"CBD","1","0.13"
"CBD / THC mixed strains","1","0.13"
"CBD Flower","1","0.13"
"Cbd honey more choices of cbd strains","1","0.13"
"cbd oil","1","0.13"
"CBD Salve, CBD Tinctures, CBD Bath Bombs (all low stock due to regulation)","1","0.13"
"CBD strains","1","0.13"
"Cbd tampons","1","0.13"
"CBD THC 1:1 flower","1","0.13"
"CBD Vape ","1","0.13"
"CBD Yummy ","1","0.13"
"Cbd/thc transdermal patch","1","0.13"
"Chad bud acapulco gold and creeper","1","0.13"
"Charlotte's Web","1","0.13"
"Charlotte's Web Plants (Or Haleigh’s Hope plants)","1","0.13"
"charlottes Web","1","0.13"
"Chatlottes Web","1","0.13"
"Cheaper flower","1","0.13"
"Cheaper strains and cartridges ","1","0.13"
"Chemdawg","1","0.13"
"Chocolate Thai","1","0.13"
"Chocolates","1","0.13"
"Chocolope, more vegan/gluten free edibles","1","0.13"
"Chuck og","1","0.13"
"CLEAR","1","0.13"
"Clones","1","0.13"
"clones, more beauty products, keif ","1","0.13"
"Clones, seeds","1","0.13"
"Coconut oil","1","0.13"
"Columbian Gold","1","0.13"
"Cookies ","1","0.13"
"Cookies and cream ","1","0.13"
"Cooking oil","1","0.13"
"dab rigs","1","0.13"
"dab rigs / gadgets to go with products I purchase, would just like greater strain variety in the dispensaries ","1","0.13"
"Deadhead OG","1","0.13"
"Destilste","1","0.13"
"Diamonds in sauce ","1","0.13"
"Diesel","1","0.13"
"Disolvable edibles","1","0.13"
"Distillates and live rosin ","1","0.13"
"do not know","1","0.13"
"Do not know.  Never been in one.","1","0.13"
"Do not trust dispensaries ","1","0.13"
"Don't know of any","1","0.13"
"Don't know.","1","0.13"
"Don’t know","1","0.13"
"Don’t know ","1","0.13"
"Don’t know...still learning more about which may work well for me.","1","0.13"
"Don’t mnow","1","0.13"
"dont know what works best yet","1","0.13"
"Dosi Dos","1","0.13"
"Dr. Who","1","0.13"
"Drinks","1","0.13"
"Drinks and more food ","1","0.13"
"Drinks that aren't 30$ a dose","1","0.13"
"Drinks, diamonds","1","0.13"
"drops","1","0.13"
"dry sift rosin that isn't crazy expensive","1","0.13"
"Durban poison ","1","0.13"
"Durban Poison ","1","0.13"
"Durban Poison, Maui Wowi, more old school strains/land races in general","1","0.13"
"Durbhan","1","0.13"
"Edible Options, high dose gummy/lozenges.","1","0.13"
"edibles","1","0.13"
"Edibles ","1","0.13"
"Edibles or loose flower not in Fl yet","1","0.13"
"Energy bars   Chocolate bars.  Brownies.  ","1","0.13"
"Every thing that I want for the time being is available to me.","1","0.13"
"Everything I use, lol. If I didn't grow, (above numyusy energy use estimate for a week) I would have to spend $500 a week on suppositories topicals and concentrate at a dispensary.","1","0.13"
"Everything. Dispensaries are poor overall supply right now ","1","0.13"
"Far higher CBD content at a lower price point","1","0.13"
"flo o g","1","0.13"
"Floriden ","1","0.13"
"flower and concentrates","1","0.13"
"flower is not permitted in NY. specific strains are not reliably in stock in dispensaries","1","0.13"
"Food","1","0.13"
"Fruit flavored lemon was nice ","1","0.13"
"Fruity pebbles","1","0.13"
"GDP","1","0.13"
"Gel tabs ","1","0.13"
"GG4","1","0.13"
"girl scout cookie","1","0.13"
"Girl scout cookie ","1","0.13"
"Girl Scout cookies","1","0.13"
"Girl Scout Cookies","1","0.13"
"Gluten Free Edibles","1","0.13"
"Godfather OG","1","0.13"
"Grand Daddy Kush","1","0.13"
"grandaddy purple, ultimate trainwreck, edibles","1","0.13"
"Granddaddy Purple","1","0.13"
"Grape Ape","1","0.13"
"Grape Stomper in a high quality glass vape cartridge","1","0.13"
"Grape, strawberry","1","0.13"
"Green crack","1","0.13"
"Green Crack","1","0.13"
"Green crack, fruity pebbles, deadhead, blue dreams, khalifa kush, etc. ","1","0.13"
"Green Monster","1","0.13"
"GSC","1","0.13"
"Gummies","1","0.13"
"Gummy bears and other editables ","1","0.13"
"Habit","1","0.13"
"Happy with the selection at bask","1","0.13"
"Harlequin flower, CBD topical rub isn’t sold at Sira Naturals ","1","0.13"
"Harlequin or other high cbd","1","0.13"
"Harliquin","1","0.13"
"hash","1","0.13"
"Hash- strawberry cough flower. Vape cartridges ","1","0.13"
"Hash ","1","0.13"
"hash not bubble","1","0.13"
"Hash plant mix","1","0.13"
"Hashish","1","0.13"
"Hashplant","1","0.13"
"Have no particular preferences","1","0.13"
"Haven’t researched outside area","1","0.13"
"Having a choice is still pretty new to me!","1","0.13"
"Hawaiian?","1","0.13"
"Hawaiin Mango Blueberry Thai","1","0.13"
"Headband","1","0.13"
"Headband and Bruce Banner","1","0.13"
"Headband, acdc","1","0.13"
"Heavy indica’s","1","0.13"
"Hemp Wick ","1","0.13"
"High-dose (therapeutic levels) CBD products at a much more affordable price point","1","0.13"
"high CBD","1","0.13"
"High CBD","1","0.13"
"High CBD flower (esp. 2:1 CBD/THC strains)","1","0.13"
"high cbd gummies or chewy caramels with thc  2:1","1","0.13"
"High CBD Strains","1","0.13"
"High thc extract in oils","1","0.13"
"high thca hybrids","1","0.13"
"higher cbd low or no thc","1","0.13"
"Higher dose edibles","1","0.13"
"Higher mg doseages for measured products, more indicas available on market","1","0.13"
"Higher mg edibles","1","0.13"
"Higher mg suppositories, chocolates","1","0.13"
"higher THC","1","0.13"
"Higher thc ","1","0.13"
"Higher thc content","1","0.13"
"Higher THC edibles","1","0.13"
"HMBLDT DOSIST PENS","1","0.13"
"Hmmmm","1","0.13"
"HYDRO","1","0.13"
"I'm not familiar enough yet with different stains available in tinctures","1","0.13"
"I'm not sure","1","0.13"
"I've never been to a dispensory","1","0.13"
"I can find what I need","1","0.13"
"i don't know","1","0.13"
"I don't know","1","0.13"
"I don't know ","1","0.13"
"I don't know enough about strains","1","0.13"
"i don't know yet","1","0.13"
"I don’t know","1","0.13"
"I grow my own ","1","0.13"
"I have access to anything I want","1","0.13"
"I have not been provided an option to even choose","1","0.13"
"I want more reliable vape cartridges/ safer and easier to use dab rigs","1","0.13"
"I want more salves/topicals and personal lubricants. ","1","0.13"
"I would like my local dispensary to sell Everything related to cannbis. I would love them to sell pipes, bongs, patches, edibles and Clones!! It should be the local gethering center with advertisements for classes and meetings and etc. Clones should be available. ","1","0.13"
"I would like to see more sativa","1","0.13"
"I’m good ","1","0.13"
"idk","1","0.13"
"Idk","1","0.13"
"incredibles","1","0.13"
"Infused (indica) gummies","1","0.13"
"Infused coconut oil","1","0.13"
"Infused coffee beans, Flavored cartridges, more candies, ","1","0.13"
"Infused soda","1","0.13"
"Ingrid, Cindy 99, MJ-23","1","0.13"
"Inhaler","1","0.13"
"Inhalers like used for athsma with thc","1","0.13"
"Inzane in the membrane","1","0.13"
"Island Sweet Skunk","1","0.13"
"It is really difficult to find good 1:1 THC/CBD strains, so much so that I can't actually name a single one off the top of my head.","1","0.13"
"Jack Cookies","1","0.13"
"Jack Herear","1","0.13"
"Jack Herer, cheap RSO and rosin","1","0.13"
"Jack Herrar and family ","1","0.13"
"Jack Herrer","1","0.13"
"Jilly Bean","1","0.13"
"Jupiter joints ","1","0.13"
"Just CBD products. Not 1-1 products. ","1","0.13"
"Katsu Bubba Kush","1","0.13"
"Keefe","1","0.13"
"keif, train wreck","1","0.13"
"khalifa kush","1","0.13"
"kief","1","0.13"
"King tut","1","0.13"
"KoolGuyzCandz FireChewz","1","0.13"
"Kush","1","0.13"
"Kush (i live in denmark)","1","0.13"
"Labeled edibles as ""Sativa"" or ""Indica""; many currently say ""Unknown strain""","1","0.13"
"Lambs breath ","1","0.13"
"Landrace Sativas","1","0.13"
"larger cartridges","1","0.13"
"Larger selection of flower","1","0.13"
"Larger variety of concentrates","1","0.13"
"Lemon Skunk,  and Hash Oil","1","0.13"
"lemon sour diesel","1","0.13"
"Lemon Tincture","1","0.13"
"Lemoncello","1","0.13"
"light saber","1","0.13"
"Like to try new strains ","1","0.13"
"Live resin","1","0.13"
"Live resin full melt hash (rosin brothers)","1","0.13"
"Live rosin","1","0.13"
"Lollipops","1","0.13"
"Lotion","1","0.13"
"Lotion/salve","1","0.13"
"Love Dutchies strain specific preroll packs or delivry service. ","1","0.13"
"Low-carb edibles","1","0.13"
"Low carb edibles, Sugar-free edibles, Vegan edibles, Gluten-free edibles","1","0.13"
"lower prices","1","0.13"
"Lower prices because the disp.are making MILLIONS  and they should share profits.","1","0.13"
"Many! Afghani, cannotonnic, ","1","0.13"
"Mary's Muscle Freeze","1","0.13"
"Massage oils ","1","0.13"
"Medicated Sugar, Medicated Cooking Oil, VEGAN EDIBLES","1","0.13"
"Medusa, Master Kush","1","0.13"
"Micro-dosages","1","0.13"
"Mini pre rolls","1","0.13"
"Mission","1","0.13"
"Mob","1","0.13"
"Moon rocks","1","0.13"
"Moon rocks ","1","0.13"
"Moon rocks lol","1","0.13"
"moonrocks","1","0.13"
"Moonrocks ","1","0.13"
"More 1:1 CBD:THC strains","1","0.13"
"More 10 and 20 mg lozenges","1","0.13"
"more capsule varieties","1","0.13"
"More cartridge options","1","0.13"
"More cartridges, wider selection of flower.","1","0.13"
"More CBD","1","0.13"
"More CBD products","1","0.13"
"More CBD products- coffee, tea ....","1","0.13"
"More CBD products and lower dose edibles ","1","0.13"
"More CBD strains and concentrates ","1","0.13"
"More CBD/THC carts","1","0.13"
"More Chem Dog","1","0.13"
"More choice of edibles...","1","0.13"
"More choices with CBD:thc ratios","1","0.13"
"More concentrated whole plant medicines","1","0.13"
"More delta-8 thc for nausea, CBN, full-spectrum products","1","0.13"
"More edible choices ","1","0.13"
"more edible choices, more concentrate choices","1","0.13"
"More edible options that are easier to dose","1","0.13"
"more edibles","1","0.13"
"More edibles","1","0.13"
"More edibles ","1","0.13"
"More flower choices  both indica and sativa . I would like to be able to consume in an social style establishment. ","1","0.13"
"More flower strains some times there’s only 3 choices ","1","0.13"
"More full spectrum organic CBD and organic cbn ","1","0.13"
"More Haze","1","0.13"
"More high thc 1:1","1","0.13"
"More higher potency edibles","1","0.13"
"More hybrids","1","0.13"
"More Indica flower (ground)","1","0.13"
"more indica only strains","1","0.13"
"More indica selections ","1","0.13"
"more indica shatter kinds","1","0.13"
"More infused beverage options","1","0.13"
"more lotions","1","0.13"
"More lotions","1","0.13"
"More microdose edibles ","1","0.13"
"more mini pre-roll varieties","1","0.13"
"More of a variety of topicals","1","0.13"
"More products with CBD!","1","0.13"
"More Rubi Pod options, more edible options.","1","0.13"
"More sativa","1","0.13"
"More sativa options","1","0.13"
"More sativas and more variety of smokable products like mini-joints. Less distillate and more full spectrum oils. ","1","0.13"
"More solventless extracts (rosin, hash) ","1","0.13"
"More spa products","1","0.13"
"More strains from the west coast","1","0.13"
"More stronger strains to relax muscle spasms","1","0.13"
"more topical","1","0.13"
"More topical and more edibles","1","0.13"
"More vape cartridge selection ","1","0.13"
"more vape cartridge strain selection ","1","0.13"
"More vape selection","1","0.13"
"More variety","1","0.13"
"More variety in edible s and topicals","1","0.13"
"More variety of edible treats","1","0.13"
"more variety of edibles","1","0.13"
"More variety of edibles","1","0.13"
"More variety of tinctures with a focus on pain","1","0.13"
"Most of them. My dispensary has a total of 8 strains, that's it","1","0.13"
"much more potent edibles and tools/bowls/glassware to go with all the shatter and flower","1","0.13"
"multi flavored cubies","1","0.13"
"My dispensary has a very broad variety, I have no complaints","1","0.13"
"My strains are always available, home grown ","1","0.13"
"N/ A","1","0.13"
"N/A at this time","1","0.13"
"NEED HIGH THC LEVEL FLOWER","1","0.13"
"Night Terror","1","0.13"
"No clue","1","0.13"
"no idea","1","0.13"
"No idea. Use CBD oil","1","0.13"
"No local dispensaries. Have to drive an hour to closest.","1","0.13"
"no sure","1","0.13"
"None-Market in NY is extremely restrictive and doesn't allow for such choices.","1","0.13"
"none ","1","0.13"
"None - I have access to a wealth of options and variety","1","0.13"
"None come to mind?","1","0.13"
"None I know of ","1","0.13"
"None that I know of.","1","0.13"
"Northern lights","1","0.13"
"Northern lights ","1","0.13"
"Northern lights Sweet tooth","1","0.13"
"Not enough variety in edibles both from mg and products in general","1","0.13"
"Not sure at this point","1","0.13"
"Not sure what’s in my tincture ","1","0.13"
"Not sure yet","1","0.13"
"Not sure, different cross breeds or hybrids...","1","0.13"
"Not sure, willing to try new things ","1","0.13"
"nothing","1","0.13"
"Nothing I can think of","1","0.13"
"nothing specific. Anything over 25% TAC...","1","0.13"
"Og kush","1","0.13"
"Oil","1","0.13"
"Only purchase concentrates from dispensary, no specific strain concerns ","1","0.13"
"Open-Ended Response","1","0.13"
"organic oils","1","0.13"
"panama red","1","0.13"
"panama red, gold","1","0.13"
"patch","1","0.13"
"Patches, inhalers","1","0.13"
"Pax Era Cartridges","1","0.13"
"Pax new Era","1","0.13"
"pax vera smart vape pens and cartridges, and more glass flower pipes","1","0.13"
"Peanut butter ","1","0.13"
"Peanut butter cup edibles","1","0.13"
"Perth","1","0.13"
"Pineapple express","1","0.13"
"Pineapple express ","1","0.13"
"Pineapple Express, Gorilla Glue","1","0.13"
"Pink Champagne","1","0.13"
"Platinum Bubba Kush","1","0.13"
"Pre wrapped blunts","1","0.13"
"Products sourced from other states","1","0.13"
"psychopsilocybin","1","0.13"
"pure sativa cartridges","1","0.13"
"Purple Haze","1","0.13"
"Purple haze ","1","0.13"
"Purple haze, Lamborghini, vanilla kush","1","0.13"
"Purple kush","1","0.13"
"Purple punch","1","0.13"
"purple urkle","1","0.13"
"Quality disposable vape pens","1","0.13"
"question doesn't apply to me ","1","0.13"
"R4","1","0.13"
"Real Blue Dream ","1","0.13"
"Real Columbian Gold","1","0.13"
"Real hash like Moroccan hash","1","0.13"
"Real indicas with lots of linalool terpene","1","0.13"
"Reasonably priced products","1","0.13"
"Reasonably priced vape cartridges....80$-100$ is A LOT of money for 1gram... And $60 for .5grams is criminal(Neta)","1","0.13"
"Recreational use products ","1","0.13"
"Rick simpson oil, granddaddy puple, and stronger edibles","1","0.13"
"Rick Simpson Oil, live rosin","1","0.13"
"Roadkill skunk ","1","0.13"
"Rolling papers with thc","1","0.13"
"RSO / FECO","1","0.13"
"Rubi","1","0.13"
"Salves, capsules","1","0.13"
"sativa","1","0.13"
"Sativa","1","0.13"
"Sativa-dominant Hybrids such as Jack Frost","1","0.13"
"Sativa edibles","1","0.13"
"Sativas","1","0.13"
"Sativas in vape cartridge","1","0.13"
"Sauce","1","0.13"
"Savory Edibles","1","0.13"
"Seeds","1","0.13"
"Seeds, growing kits, much lower pricing overall","1","0.13"
"Serious Happiness","1","0.13"
"Shatter","1","0.13"
"Sic aria ","1","0.13"
"Simple","1","0.13"
"sipostetory","1","0.13"
"Sirius Black","1","0.13"
"Sirius Black flower","1","0.13"
"Sjskak","1","0.13"
"Skunk road kill ","1","0.13"
"Skunks","1","0.13"
"Slativex","1","0.13"
"Smaller dose edibles with 1:1 CBD:THC ratios","1","0.13"
"Snoop Dogg OG, blueberry kush","1","0.13"
"So many, why I grow my own ","1","0.13"
"Solvent Free Full Spectrum All Natural Products of All Kinds","1","0.13"
"Solventless Diamonds (Sira product)","1","0.13"
"something to help pack loose ground flower into my flower vape or pipe","1","0.13"
"Sour ","1","0.13"
"Sour candy","1","0.13"
"Sour Candy","1","0.13"
"sour diesel ","1","0.13"
"Sour Diesel ","1","0.13"
"Sour Diesel & Blue Dream are both fantastic and classic strains that i'd love to see at Bask!","1","0.13"
"Sour Diesel and Chuck OG","1","0.13"
"Sour diesel pre rolls","1","0.13"
"Sour Diesel, Train Wreck, Skywalker Kush","1","0.13"
"SOUR DIESEL/lambs bread","1","0.13"
"Sour Grape","1","0.13"
"Space jam","1","0.13"
"Sprays","1","0.13"
"Star pupil, pineapple express","1","0.13"
"Starw cough sour diesel cherry berry lemon lime ak 47","1","0.13"
"Stizzy, more reasonable prices on wax, oil, shatter ","1","0.13"
"strain tangie","1","0.13"
"strawberry cough","1","0.13"
"Strawberry Cough","1","0.13"
"Strawberry Diseal ","1","0.13"
"Strawberry Snow Cone","1","0.13"
"strong cbd pills","1","0.13"
"Stronger strains","1","0.13"
"Sugar free edibles","1","0.13"
"Sun rocks","1","0.13"
"Sunset Kush","1","0.13"
"Suppositories","1","0.13"
"Suppository","1","0.13"
"Sweet Tooth","1","0.13"
"Sweet Tooth ","1","0.13"
"Tahoe og","1","0.13"
"tampons/condoms","1","0.13"
"Tangerine haze/kush","1","0.13"
"Tangie","1","0.13"
"Terp Sauce / Concentrates","1","0.13"
"THC Dip","1","0.13"
"Thc drinks","1","0.13"
"THC in tincture instead of capsule","1","0.13"
"THCV strains","1","0.13"
"Theory infusions 1:1 thc:cbd","1","0.13"
"There is nothing that I would want from a dispensary as the quality is usually lower and prices higher than using a caregiver or growing and making my own products.","1","0.13"
"There use to be a high dose mini grasshopper pie at one of the dispensaries that I wish would come back.  I am not so much a fan of the gummies as I am the hard candies.  ","1","0.13"
"They have what I need.","1","0.13"
"Tincture based in coconut oil","1","0.13"
"Tinctures","1","0.13"
"Tinctures, disposable vape pen, transdermal patch, other variety of high CBD:THC, or high THC tincture to microdose","1","0.13"
"toast Gold","1","0.13"
"Topicals","1","0.13"
"Trainwreck ","1","0.13"
"transdermal patches","1","0.13"
"Transdermal patches","1","0.13"
"Treatwell tinctures","1","0.13"
"TRUE WEST COAST GENITICS","1","0.13"
"type (indica/sativa) specific edibles","1","0.13"
"unk","1","0.13"
"Unkown","1","0.13"
"Upside down capsules,I usually get at NETA","1","0.13"
"Vaginal Suppositories","1","0.13"
"vaginal suppositories, high-dose edibles (200+ mg), empty cartridges and other thc-specific vaporizer supplies","1","0.13"
"Vape cartridges","1","0.13"
"Varied topicals","1","0.13"
"Variety of hybrid flowers and pre rolls","1","0.13"
"wax concentrate","1","0.13"
"Wax/rosin","1","0.13"
"WE don't have Dispensaries in GA","1","0.13"
"Wedding cake","1","0.13"
"Where do I begin? More variety of prerolls packages vs singles. ","1","0.13"
"White Widow Green Crack  Moon Rocks  White Berry Blue Dream","1","0.13"
"With the lemon influence","1","0.13"
"Yoda","1","0.13"
