"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10136711414,"Other cannabinoids and terpenes","Cost/Price","THC Content"
10135356461,"THC Content","Cost/Price","CBD Content"
10134672044,"THC Content","CBD Content","Cost/Price"
10133805034,"THC Content","Quality","Cost/Price"
10133620417,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10133562078,"THC Content","Other cannabinoids and terpenes","Quality"
10133294854,"Cost/Price","THC Content","CBD Content"
10132944471,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10132796279,"THC Content","Favorite Strain","Quality"
10131883157,"THC Content","Quality","Favorite Strain"
10131680927,"THC Content","Other cannabinoids and terpenes","Quality"
10131630769,"THC Content","CBD Content","Quality"
10131629272,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10131268897,"Format (flower, vape, edibles, etc)","Cost/Price","CBD Content"
10131242201,"THC Content","Quality","Cost/Price"
10131242010,"Cost/Price","CBD Content","THC Content"
10131233475,"THC Content","THCa","Cost/Price"
10131197878,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10131149670,"THC Content","CBD Content","THCa"
10130042878,"Cost/Price","Quality","THCa"
10129721114,"THC Content","Quality","Other cannabinoids and terpenes"
10129619157,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10129485910,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10129124458,"Cost/Price","Format (flower, vape, edibles, etc)","CBD Content"
10128767761,"CBD Content","Cost/Price","THCa"
10128457377,"Other cannabinoids and terpenes","THC Content","CBD Content"
10128138430,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10127960438,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10127918275,"Cost/Price","THC Content","Other cannabinoids and terpenes"
10127840609,"CBD Content","Cost/Price","Favorite Strain"
10127793457,"Quality","Cost/Price","CBD Content"
10127657862,"Quality","Quality",""
10127496364,"THC Content","CBD Content","Cost/Price"
10127475954,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10127464855,"Favorite Strain","THC Content","Cost/Price"
10127410003,"CBD Content","THC Content","Cost/Price"
10127389359,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10127374019,"Quality","THC Content","CBD Content"
10127256002,"Quality","THC Content","Cost/Price"
10127253546,"CBD Content","Cost/Price","Quality"
10127249141,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10127222916,"Format (flower, vape, edibles, etc)","Cost/Price","Favorite Strain"
10127220039,"CBD Content","THC Content","THCa"
10127199021,"Cost/Price","Quality","THC Content"
10127171612,"THC Content","Other cannabinoids and terpenes","CBD Content"
10127160872,"THC Content","Cost/Price","Favorite Strain"
10126818130,"THC Content","CBD Content","Other cannabinoids and terpenes"
10126315016,"Favorite Strain","Cost/Price","THC Content"
10125565226,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10125413527,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10125280005,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
10125239383,"Quality","THC Content","Cost/Price"
10124412268,"Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)","Cost/Price"
10124378453,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10124256768,"Quality","Cost/Price","THC Content"
10124250123,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10123609822,"CBD Content","THC Content","Other cannabinoids and terpenes"
10121675492,"THC Content","Favorite Strain","Cost/Price"
10120946731,"Favorite Strain","CBDa","Other cannabinoids and terpenes"
10120474217,"Favorite Strain","Format (flower, vape, edibles, etc)","Cost/Price"
10120029854,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Quality"
10118545790,"THC Content","THC Content","Quality"
10118350185,"THC Content","CBD Content","Quality"
10117867617,"Quality","CBD Content","Cost/Price"
10117478255,"CBD Content","THCa","Other cannabinoids and terpenes"
10116561460,"CBD Content","Cost/Price","Favorite Strain"
10114267357,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10113809878,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10113129257,"Favorite Strain","Quality","Cost/Price"
10113111202,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10113110847,"THC Content","CBD Content","Cost/Price"
10107352967,"Quality","Favorite Strain","Other cannabinoids and terpenes"
10104651807,"Quality","Other cannabinoids and terpenes","THC Content"
