"q59","What is the University or College closest to where you live?","n =  525"
"U mass dartmouth","1","0.19"
"U MASS Dartmouth","1","0.19"
"U Mass Lowell","1","0.19"
"U Mass, Dartmouth","1","0.19"
"U of Michigan","1","0.19"
"U of MT","1","0.19"
"U of NM","1","0.19"
"U of Oregon","1","0.19"
"U. of Maryland","1","0.19"
"U.Mass.Dartmouth","1","0.19"
"UAA","1","0.19"
"UBC Okanagan","1","0.19"
"ucf","1","0.19"
"ucla","1","0.19"
"UCONN","1","0.19"
"UCONN ","1","0.19"
"UCSB","1","0.19"
"UCSC","1","0.19"
"UCSF","1","0.19"
"UGA","1","0.19"
"ULOWELL","1","0.19"
"UM- Portland","1","0.19"
"UMaine","1","0.19"
"UMass-Dartmouth","1","0.19"
"umass ","1","0.19"
"UMass amherst","1","0.19"
"UMass Amherst","1","0.19"
"UMASS Amherst","1","0.19"
"UMass Boston ","1","0.19"
"Umass dartmouth","1","0.19"
"Umass dartmouth ","1","0.19"
"UMass Framingham","1","0.19"
"Umass lowell","1","0.19"
"UMass Lowell","1","0.19"
"Umass Lowell ","1","0.19"
"UMASS of Dartmouth and Bristol Community College","1","0.19"
"UMassD ","1","0.19"
"UMD","1","0.19"
"umf","1","0.19"
"UNC","1","0.19"
"UNE- University of New England","1","0.19"
"unh","1","0.19"
"UNH","1","0.19"
"Unit of Vermont","1","0.19"
"Univ CA San Bernardino Palm Desert","1","0.19"
"Univ of New Mexico ","1","0.19"
"Univ. Of South Florida. Tampa Fl.","1","0.19"
"Universidad de Costa Rica","1","0.19"
"University of Alabama Birmingham ","1","0.19"
"University of Alaska Anchorage","1","0.19"
"University of Arizona ","1","0.19"
"University of Arizona, Flagstaff","1","0.19"
"University of British Columbia","1","0.19"
"University of California, Irvine","1","0.19"
"University of California/ Santa Cruz ","1","0.19"
"University of Central Florida","1","0.19"
"University of Chicago","1","0.19"
"University of Colorado","1","0.19"
"University of Colorado Boulder","1","0.19"
"University of Georgia","1","0.19"
"University of Indianapolis","1","0.19"
"University of Lagos","1","0.19"
"University of MA","1","0.19"
"University of MA Dartmouth","1","0.19"
"University of Maine at Augusta","1","0.19"
"University of Maine/Orono","1","0.19"
"University of Mass Dartmouth","1","0.19"
"University of Massachusetts @ Dartmouth","1","0.19"
"University of Massachusetts Dartmouth","1","0.19"
"university of michigan","1","0.19"
"University of MN","1","0.19"
"University of Montana, Missoula","1","0.19"
"University of New England","1","0.19"
"University of New Hampshire","1","0.19"
"University of North Dakota","1","0.19"
"University of Oregon","1","0.19"
"University of Pennsylvania","1","0.19"
"University of R.I.","1","0.19"
"University of San Francisco ","1","0.19"
"University of South Florida","1","0.19"
"university of southern maine","1","0.19"
"University of Southern Maine","1","0.19"
"University of the Free State","1","0.19"
"University of Victoria","1","0.19"
"University of Washington ","1","0.19"
"University of Washington State","1","0.19"
"Univesity of MA Dartmouth","1","0.19"
"UNR","1","0.19"
"Unsure","1","0.19"
"USC","1","0.19"
"UT","1","0.19"
"UTSA","1","0.19"
"Victoria College (Texas)","1","0.19"
"Washington college ","1","0.19"
"Wayne State","1","0.19"
"Wellesley College","1","0.19"
"Welllesley College","1","0.19"
"Wesfield College ","1","0.19"
"Wesleyan University","1","0.19"
"Wester new England","1","0.19"
"Western New England","1","0.19"
"Western new England  college ","1","0.19"
"western new england university","1","0.19"
"Western Washington University","1","0.19"
"westfield","1","0.19"
"Westfield collage","1","0.19"
"Westfield state","1","0.19"
"Westfield State ","1","0.19"
"Westfield state university","1","0.19"
"Westfield SU","1","0.19"
"Westfield University","1","0.19"
"Whitman College","1","0.19"
"Whitman University","1","0.19"
"wnec","1","0.19"
"WNEC","1","0.19"
"WNEU","1","0.19"
"Worcester Polytech WPI","1","0.19"
"Worcester state","1","0.19"
"Worcester State University","1","0.19"
"WPI","1","0.19"
"Yavapai ","1","0.19"
"Young Harris College","1","0.19"
