"q56","What is your favorite cannabis strain?","n =  265"
"Combat cookie ","1","0.42"
"Cornbread ","1","0.42"
"Critical mass","1","0.42"
"D/K","1","0.42"
"Dakini kush","1","0.42"
"Dakini Kush","1","0.42"
"Deadhead","1","0.42"
"Diablo fuego","1","0.42"
"don't have a favorite","1","0.42"
"Don't know","1","0.42"
"Don’t know","1","0.42"
"Don’t know ","1","0.42"
"Dragon's breath","1","0.42"
"Durban Poision","1","0.42"
"Durban Poison ","1","0.42"
"Electric Funk","1","0.42"
"Flo","1","0.42"
"Flo ","1","0.42"
"Four Lights ","1","0.42"
"Freddy’s Fuego","1","0.42"
"Gelato","1","0.42"
"Gelato 33","1","0.42"
"GG","1","0.42"
"GG ","1","0.42"
"GG #4 , Blue Dream","1","0.42"
"Ghost OG","1","0.42"
"Girl Scout Cookie","1","0.42"
"Girl Scout cookie ","1","0.42"
"Girl Scout cookies","1","0.42"
"Girl Scout Cookies","1","0.42"
"Good","1","0.42"
"Gorilla Cookies","1","0.42"
"gorilla glue","1","0.42"
"Gorilla Glue #4","1","0.42"
"Gorilla Glue 4","1","0.42"
"Grand Daddy Purple","1","0.42"
"Grand Daddy Purple ","1","0.42"
"Grandaddy Purp","1","0.42"
"Grandady purple","1","0.42"
"Granddaddy Purp","1","0.42"
"Grape God","1","0.42"
"Harlequin","1","0.42"
"holy grail","1","0.42"
"Holy Grail Kush","1","0.42"
"I don't know","1","0.42"
"I don't really have a preference","1","0.42"
"Ice Cream Cake","1","0.42"
"Idk","1","0.42"
"indica","1","0.42"
"Jack herer ","1","0.42"
"Jack Herrer","1","0.42"
"Katsu Kush","1","0.42"
"King Tutankhamon","1","0.42"
"La Confidential","1","0.42"
"LA CONFIDENTIAL","1","0.42"
"Larry Byrd aka Gelato #33","1","0.42"
"Lavender","1","0.42"
"Legends ultimate indica","1","0.42"
"Lemon Gelato","1","0.42"
"Lemon haze","1","0.42"
"Lemon Miringue","1","0.42"
"Liquid Cocaine ","1","0.42"
"Louis XIV","1","0.42"
"Lsd","1","0.42"
"LSD","1","0.42"
"M47","1","0.42"
"mandarin ","1","0.42"
"Mango Kush","1","0.42"
"Master Kush","1","0.42"
"Member Berry","1","0.42"
"member berry ","1","0.42"
"Mentdown","1","0.42"
"Mimosa","1","0.42"
"MOB","1","0.42"
"mountain Duex","1","0.42"
"Mower Wowie","1","0.42"
"Mowi wowi","1","0.42"
"Mystery machine ","1","0.42"
"n/A","1","0.42"
"N/a","1","0.42"
"na","1","0.42"
"Na ","1","0.42"
"none","1","0.42"
"Northern lights","1","0.42"
"Northern Lights ","1","0.42"
"not sure","1","0.42"
"Not that important if you know what to look for","1","0.42"
"Og","1","0.42"
"OG","1","0.42"
"Og Kush","1","0.42"
"OG KUSH","1","0.42"
"Orange Chemeleon","1","0.42"
"Orange Harambe","1","0.42"
"Peach puree","1","0.42"
"Peanut butter breath ","1","0.42"
"Phantom mile","1","0.42"
"Pineapple","1","0.42"
"Pineapple express","1","0.42"
"Pineapple Express","1","0.42"
"Platinum Garlic ","1","0.42"
"Purple Punch ","1","0.42"
"Purple urkle","1","0.42"
"Purplepunch","1","0.42"
"Ricks pupil","1","0.42"
"Rockstar ","1","0.42"
"sativa","1","0.42"
"Silver Kush","1","0.42"
"Sky walker ","1","0.42"
"Skywalker","1","0.42"
"SkyWalker Kush","1","0.42"
"Skywalker OG","1","0.42"
"Snoops dream","1","0.42"
"Sour desiel ","1","0.42"
"Sour diesel","1","0.42"
"Sour Diesel ","1","0.42"
"Sour Tangie ","1","0.42"
"Sour tsunami, and Harley Quinn ","1","0.42"
"star killer cornbread plat bubba kush","1","0.42"
"star killer plat buuba kush cornbread","1","0.42"
"strawberry cough","1","0.42"
"Strawberry cough","1","0.42"
"Sunset Daydream","1","0.42"
"Super lemon haze","1","0.42"
"Swamp Thing","1","0.42"
"Tangerine Dream ","1","0.42"
"Texada","1","0.42"
"ThiaBud ( if I could ever get it again) or Black Russian","1","0.42"
"To many to choose","1","0.42"
"Too many to list","1","0.42"
"Trainwreck","1","0.42"
"Tropicanna","1","0.42"
"Unknown","1","0.42"
"Unknown ","1","0.42"
"varies","1","0.42"
"various kushes","1","0.42"
"way to many to list, I got 10 on deck right now","1","0.42"
"White Fire OG","1","0.42"
"White Widow","1","0.42"
"White widow ","1","0.42"
"wildflower","1","0.42"
"Willies Reserve","1","0.42"
