"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10244892012,"","","","5 mg or less","","","","","","",""
10232898612,"","","","","","","","","26 - 50 mg","",""
10232380231,"","","","6-25 mg","","","","","","",""
10231285230,"","","","6-25 mg","","","","","","26 - 50 mg",""
10230014122,"","","","5 mg or less","","","","","","",""
10229975238,"","","","5 mg or less","","","","","","",""
10229687684,"","","","26 - 50 mg","","","","","","",""
10229676773,"","","","","","","","","","",""
10229359369,"","","","","","","","","","",""
10195755785,"","","","","","","","","","",""
10192622432,"","","","201 - 500 mg","","","","","","",""
10192490652,"","","","","","","","","","",""
10188478016,"","","","5 mg or less","","","","","","",""
10175275460,"","","","","","","","","","",""
10170229155,"","","","","","","","","","",""
10168000728,"","","","","","","","","","",""
10166114652,"","","","","","","","","","",""
10153479989,"","","","","","","","","","",""
10139120406,"","","","5 mg or less","","","","","","",""
10135253638,"","","","","","","","","","",""
10129421681,"","","","501 - 1000 mg","","","","","","",""
10127686715,"","","","5 mg or less","","","","","","",""
10127518011,"","","","5 mg or less","","","","","","",""
10127257620,"","","","","","","","","","",""
10127001678,"","","","101 - 200 mg","","","","","","",""
10120088047,"","","","51 - 100 mg","","","","","","",""
10113325824,"","","","5 mg or less","","","","","","",""
10113042932,"","","","101 - 200 mg","","","","","","",""
11121905332,"","","","201 - 500 mg","","","","","","",""
10937584160,"","","","6-25 mg","","","","","","",""
10234107777,"","","","","","","","","26 - 50 mg","6-25 mg",""
10232503546,"","","","5 mg or less","","","","","","",""
10232360437,"","","","","","","","","","",""
10230681725,"","","","6-25 mg","","","","","","",""
10230536550,"","","","","","","","","","",""
10230431590,"","","","","","","","","","",""
10230399786,"","","","","","","","","","",""
10230315461,"","","","5 mg or less","","","","","","6-25 mg",""
10230283776,"","","","","","","","","","5 mg or less",""
10229935186,"","","","","","","","","","26 - 50 mg",""
10229451801,"","","","","","","","","","",""
10229332529,"","","","","","","","","","",""
10192853887,"","","","","","","","","","",""
10190711176,"","","","","","","","","","",""
10171532408,"","","","5 mg or less","","","","","","",""
10154763373,"","","","6-25 mg","","","","","","",""
10138138429,"","","","","","","","","","",""
10123538695,"","","","5 mg or less","","","","","","",""
10122742896,"","","","","","","","","","",""
10118791641,"","","","","","","","","","",""
10239513823,"","","","","","","","","","",""
10233619569,"","","","","","","","","","",""
10233274468,"","","","","","","","","","5 mg or less",""
